level_0,index,ID,Name,InChI,InChIKey,SMILES,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,Species,Hcp,CID,Melting Point,log Hcp,MeltingPointPredicted,PredictedSolValues,ActualSolValues,PredictedHcpValues,ActualHcpValues,rfrMeltingPoint
87,87,A-142,1-methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",XMGQYMWWDOXHJM-UHFFFAOYSA-N,CC(=C)C1CCC(=CC1)C,-3.8464965295,0.730589006371557,9,G4,136.238,3.308900000000002,45.91200000000003,10.0,0.0,0.0,0.0,1.0,56.0,0.0,0.0,1.0,1.0,0.0,63.63869283950127,2.495412226862891,162.8771237954945,1-methyl-4-(1-methylethenyl)-cyclohexene,0.00048,22311.0,-86.4333333333,-3.3187587626244124,-47.33896893960745,-4.151410213988842,-3.8464965295,-3.488010118584039,-3.3187587626244124,-40.24032164160114
99,99,A-167,diphenyl carbonate,InChI=1S/C13H10O3/c14-13(15-11-7-3-1-4-8-11)16-12-9-5-2-6-10-12/h1-10H,ROORDVPLFPIABK-UHFFFAOYSA-N,O=C(Oc1ccccc1)Oc2ccccc2,-4.2169166627,0.0,1,G1,214.22,3.264400000000002,59.53600000000003,16.0,3.0,0.0,3.0,2.0,80.0,2.0,0.0,0.0,2.0,35.53,93.24205199901516,1.9521941477943936,407.6186271235691,diphenyl carbonate,0.12,7597.0,83.0,-0.9208187539523751,44.24925056973651,-3.775772119162242,-4.2169166627,-0.1577480326574114,-0.9208187539523752,50.49195196239573
102,102,A-170,"(1Z,5Z)-cycloocta-1,5-diene","InChI=1S/C8H12/c1-2-4-6-8-7-5-3-1/h1-2,7-8H,3-6H2/b2-1-,8-7-",VYXHVRARDIDEHS-QGTKBVGQSA-N,C\1C\C=C/CC\C=C1,-2.9659771733,0.0,1,G1,108.184,2.6728000000000014,36.748,8.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,1.0,1.0,0.0,50.90880861070806,2.285714285714285,72.60593781761291,"1,5-cyclooctadiene",0.00038,82916.0,-56.4,-3.4202164033831894,-86.64595824330523,-3.657511862243688,-2.9659771733,-3.415584548998581,-3.420216403383189,-58.16691183655995
105,105,A-176,"1,2-dibutyl benzene-1,2-dicarboxylate","InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",DOIRQSBPFJWKBE-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.3876832538,0.0572972635905897,5,G5,278.348,3.600400000000003,76.82300000000005,20.0,4.0,0.0,4.0,8.0,110.0,1.0,0.0,0.0,1.0,52.60000000000001,119.63095892256436,2.7123913375014235,398.85794216890986,dibutyl phthalate,9.3,3026.0,-35.0,0.9684829485539351,111.44966145969552,-4.912037649473103,-4.3876832538,1.1247533307774231,0.9684829485539352,137.91160414333055
121,121,A-201,"1,1':4',1''-terphenyl",InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H,XJKSTNDFUHDPQJ-UHFFFAOYSA-N,c1ccc(cc1)c2ccc(cc2)c3ccccc3,-6.183335848,0.4618320760000003,2,G3,230.31,5.020600000000004,77.31400000000004,18.0,0.0,0.0,0.0,2.0,86.0,3.0,0.0,0.0,3.0,0.0,107.54559153162504,1.951466168669556,548.7160655475084,$p$-terphenyl,0.29,7115.0,210.1,-0.5376020021010439,137.02291807522258,-6.582533650130601,-6.183335848,0.7315138449013491,-0.5376020021010439,193.81913991723536
122,122,A-203,pyrene,InChI=1S/C16H10/c1-3-11-7-9-13-5-2-6-14-10-8-12(4-1)15(11)16(13)14/h1-10H,BBEAQIROQSPTKN-UHFFFAOYSA-N,c1cc2ccc3cccc4ccc(c1)c2c34,-6.1787966156,0.0588200189844963,3,G5,202.256,4.584000000000002,70.14600000000003,16.0,0.0,0.0,0.0,0.0,74.0,4.0,0.0,0.0,4.0,0.0,93.45542159483816,2.505955689360672,666.6198058168793,pyrene,0.75,31423.0,151.2,-0.12493873660829993,149.98683342362136,-6.291271888810078,-6.1787966156,0.5744573322604671,-0.1249387366082999,176.88170634276395
142,142,A-237,2-amino-4-nitrophenol,"InChI=1S/C6H6N2O3/c7-5-3-4(8(10)11)1-2-6(5)9/h1-3,9H,7H2",VLZVIIYRNMWPSN-UHFFFAOYSA-N,Nc1cc(ccc1O)[N+]([O-])=O,-2.2056018566,0.0080490716999999,2,G3,154.12499999999997,0.8825999999999998,39.17360000000001,11.0,4.0,2.0,5.0,1.0,58.0,1.0,0.0,0.0,1.0,89.38999999999999,62.21850329120549,3.1515496683060507,297.8789117242989,2-amino-4-nitrophenol,4500000.0,3613389.0,144.0,6.653212513775343,203.20106026040114,-2.0652784165525917,-2.2056018566,5.891045791007318,6.653212513775343,173.16503440304731
153,153,A-256,1-chlorohexane,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",MLRVZFYXUZQSRU-UHFFFAOYSA-N,CCCCCCCl,-3.1223887332,0.2279659777999998,2,G3,120.623,2.805500000000001,34.861999999999995,7.0,0.0,0.0,1.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,50.86722782669426,2.447472887876344,23.36099039894992,1-chlorohexane,0.00031,10992.0,-94.0,-3.5086383061657265,-83.05558406341541,-3.0437828675544925,-3.1223887332,-3.389967699769153,-3.5086383061657265,-82.49443894168243
156,156,A-262,octan-2-one,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,CCCCCCC(C)=O,-2.1536963273,0.0518481636500001,2,G3,128.215,2.5458000000000007,39.440000000000005,9.0,1.0,0.0,1.0,5.0,54.0,0.0,0.0,0.0,0.0,17.07,57.45536792864957,2.828868134909685,76.63682062300136,2-octanone,0.052,8093.0,-16.0,-1.2839966563652008,-51.851702348316465,-1.99475624176104,-2.1536963273,-1.447154280808534,-1.2839966563652008,-63.56247352716059
166,166,A-278,2-ethylhexyl prop-2-enoate,"InChI=1S/C11H20O2/c1-4-7-8-10(5-2)9-13-11(12)6-3/h6,10H,3-5,7-9H2,1-2H3",GOXQRTZXKQZDDN-UHFFFAOYSA-N,CCCCC(CC)COC(=O)C=C,-4.2832046138,0.5088523068999999,2,G2,184.279,2.9320000000000013,54.46200000000004,13.0,2.0,0.0,2.0,7.0,76.0,0.0,0.0,0.0,0.0,26.3,80.974136469162,3.5789305606878026,152.16926858274718,"2-propenoic acid, 2-ethylhexyl ester",0.023,7636.0,-90.0,-1.6382721639824072,24.102705491297357,-4.158241987617108,-4.2832046138,-1.7519191910337362,-1.6382721639824072,15.361654388507178
169,169,A-285,ethanethiol,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3",DNJIEGIFACGWOD-UHFFFAOYSA-N,CCS,-0.8459165595999999,0.1505136241498919,3,G5,62.137,0.9361,19.527,3.0,1.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,26.25925980562788,1.6329931618554523,2.754887502163468,ethanethiol,0.0028,6343.0,-147.8,-2.5528419686577806,-145.86295003774566,-0.8873076285425232,-0.8459165595999999,-2.515416672775331,-2.552841968657781,-142.97461109005272
174,174,A-298,1-bromobutane,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",MPPPKRYCTPRNTB-UHFFFAOYSA-N,CCCCBr,-2.1977641867,0.0861179066500001,2,G3,137.01999999999998,2.1814,28.701999999999988,5.0,0.0,0.0,1.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,41.70162497666073,2.19060968716425,11.119415478763749,1-bromobutane,0.00046,8002.0,-112.4,-3.3372421683184257,-115.47478762927717,-2.4787326651297787,-2.1977641867,-3.2254001344821823,-3.3372421683184257,-100.3998587035143
180,180,A-310,"1,4-dichloro-2-nitrobenzene",InChI=1S/C6H3Cl2NO2/c7-4-1-2-5(8)6(3-4)9(10)11/h1-3H,RZKKOBGFCAHLCZ-UHFFFAOYSA-N,[O-][N+](=O)c1cc(Cl)ccc1Cl,-3.3642253983,0.375242360308355,3,G5,192.001,2.9016,43.11640000000001,11.0,2.0,0.0,5.0,1.0,58.0,1.0,0.0,0.0,1.0,43.14,72.6909112957601,3.232208870305491,300.6337992264624,"1,4-dichloro-2-nitrobenzene",0.82,6977.0,56.0,-0.08618614761628333,35.91169931609728,-3.2988852481247948,-3.3642253983,-0.2457997725114296,-0.0861861476162833,28.14855166343558
188,188,A-323,pentyl propanoate,"InChI=1S/C8H16O2/c1-3-5-6-7-10-8(9)4-2/h3-7H2,1-2H3",TWSRVQVEYJNFKQ-UHFFFAOYSA-N,CCCCCOC(=O)CC,-2.2505224040000003,0.4852612020000001,2,G3,144.21399999999997,2.1298000000000004,40.775000000000006,10.0,2.0,0.0,2.0,5.0,60.0,0.0,0.0,0.0,0.0,26.3,62.568913158156434,2.9617756061821483,89.25838096618138,pentyl propanoate,0.014,12217.0,-73.1,-1.853871964321762,-66.04442475194283,-2.331662749350512,-2.2505224040000003,-1.8297208100509696,-1.853871964321762,-61.95059215218771
189,189,A-324,"1-chloro-1,2,2-trifluoroethene",InChI=1S/C2ClF3/c3-1(4)2(5)6,UUAGAQFQZIEFAH-UHFFFAOYSA-N,FC(F)=C(F)Cl,-2.1609542979,0.3739782325,2,G3,116.469,2.2603,16.203000000000003,6.0,0.0,0.0,4.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,37.21446254570228,3.675948764555208,58.862383112184006,chlorotrifluoroethene,3.2e-05,6594.0,-158.0,-4.494850021680094,-153.87105649549065,-2.293031429619933,-2.1609542979,-4.404987415329647,-4.494850021680094,-145.59644336408837
197,193,A-331,(5Z)-5-ethylidenebicyclo[2.2.1]hept-2-ene,"InChI=1S/C9H12/c1-2-8-5-7-3-4-9(8)6-7/h2-4,7,9H,5-6H2,1H3/b8-2+",OJOWICOBYCXEKR-KRXBUXKQSA-N,C\C=C1/CC2CC1C=C2,-3.1767964148,0.4768517925999997,2,G3,120.19499999999996,2.5287000000000006,39.111,9.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,2.0,2.0,0.0,56.26791957157544,2.289029629311208,174.47733175670794,5-ethylidene-2-norbornene,7.6e-05,5365543.0,-80.0,-4.119186407719208,-100.28221829637731,-3.20003265426022,-3.1767964148,-2.9368121079458094,-4.119186407719208,-61.65284265598317
201,197,A-339,tetrabutylstannane,"InChI=1S/4C4H9.Sn/c4*1-3-4-2;/h4*1,3-4H2,2H3;",AFCAKJKUYFLYFK-UHFFFAOYSA-N,CCCC[Sn](CCCC)(CCCC)CCCC,-4.596065772,0.9802028191499996,2,G2,347.1750000000002,6.635600000000007,84.61400000000008,17.0,0.0,0.0,1.0,12.0,104.0,0.0,0.0,0.0,0.0,0.0,114.83073519399012,4.391491248304028,116.09439334885208,tetrabutylstannane,1.6e-06,15098.0,-97.0,-5.795880017344075,-95.56558373470766,-5.179434167590395,-4.596065772,-4.871728553356935,-5.795880017344075,-42.216684217663115
208,204,A-352,"tetrachloro-1,3-dihydro-2-benzofuran-1,3-dione",InChI=1S/C8Cl4O3/c9-3-1-2(8(14)15-7(1)13)4(10)6(12)5(3)11,AUHHYELHRWCWEZ-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,-4.5531196112,1.9678683379510389,5,G4,285.89699999999993,3.6107999999999993,56.228,15.0,3.0,0.0,7.0,0.0,78.0,1.0,0.0,1.0,2.0,43.370000000000005,103.80511053188206,2.9225689093555403,464.3436252723838,"4,5,6,7-tetrachloro-1,3-isobenzofurandione",5.2,8326.0,254.5,0.7160033436347991,110.18192712615607,-4.693676926563435,-4.5531196112,1.3378480164804525,0.7160033436347991,135.75604736487185
210,206,A-356,ethanol,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,1.2336682179,0.0968628493414177,3,G5,46.069,-0.0014,12.759800000000002,3.0,1.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,20.23,19.89842689442217,1.6329931618554523,2.754887502163468,ethanol,1.9,702.0,-114.1,0.2787536009528289,-140.83003149768322,1.2745124978647866,1.2336682179,0.1466032877299657,0.2787536009528289,-146.71446621918417
211,207,A-359,"1,4-dimethoxybenzene","InChI=1S/C8H10O2/c1-9-7-3-5-8(10-2)6-4-7/h3-6H,1-2H3",OHBQPCCCRFSCAX-UHFFFAOYSA-N,COc1ccc(OC)cc1,-2.2455315279,0.0224181995499999,2,G3,138.166,1.7038,39.546000000000014,10.0,2.0,0.0,2.0,2.0,54.0,1.0,0.0,0.0,1.0,18.46,60.38837780730394,2.7972512629697874,167.91749419417292,"1,4-dimethoxybenzene",0.0028,9016.0,59.0,-2.5528419686577806,-88.52219814263444,-1.9400631955719745,-2.2455315279,-0.3150387306066619,-2.552841968657781,-29.727318554866176
218,214,A-368,"2,3,5-trimethylphenol","InChI=1S/C9H12O/c1-6-4-7(2)8(3)9(10)5-6/h4-5,10H,1-3H3",OGRAOKJKVGDSFR-UHFFFAOYSA-N,Cc1cc(C)c(C)c(O)c1,-2.2522030039,0.0,1,G1,136.194,2.3174600000000005,42.31780000000002,10.0,1.0,1.0,1.0,0.0,54.0,1.0,0.0,0.0,1.0,20.23,61.32046321488279,3.310532874722407,227.900333363576,"2,3,5-trimethylphenol",12.0,12769.0,93.5,1.0791812460476247,27.48878357094831,-2.1362615664957363,-2.2522030039,1.06378359922211,1.0791812460476249,22.248125184533105
221,217,A-371,isothiocyanatomethane,InChI=1S/C2H3NS/c1-3-2-4/h1H3,LGDSHSYDSCRFAB-UHFFFAOYSA-N,CN=C=S,-0.9832225904,0.0146183356737255,3,G5,73.12,0.7190000000000001,20.95,4.0,2.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,12.36,30.358295875291155,3.1086122966741363,44.0,methyl isothiocyanate,0.17,11167.0,36.0,-0.769551078621726,-83.41151214762768,-0.6503346953202249,-0.9832225904,-1.063825615392627,-0.769551078621726,-106.4268992973811
224,220,A-374,"Alcohols, C9-11-iso-, C10-rich","InChI=1S/C10H22O/c1-10(2)8-6-4-3-5-7-9-11/h10-11H,3-9H2,1-2H3",PLLBRTOLHQQAQQ-UHFFFAOYSA-N,CC(C)CCCCCCCO,-3.3243784972,0.2131774717499999,2,G3,158.285,2.975300000000002,49.62580000000003,11.0,1.0,1.0,1.0,7.0,68.0,0.0,0.0,0.0,0.0,20.23,70.81796380959506,2.7964218719764773,69.27302875388388,8-methyl-1-nonanol,0.18,32898.0,7.0,-0.7447274948966939,13.294206480420488,-3.2185158369037663,-3.3243784972,-0.5368330158614616,-0.7447274948966939,15.58186767958707
230,226,A-382,triethylamine,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",ZMANZCXQSJIPKH-UHFFFAOYSA-N,CCN(CC)CC,-0.1376829835,0.3354934183004696,7,G5,101.193,1.3481,33.46199999999998,7.0,1.0,0.0,1.0,3.0,44.0,0.0,0.0,0.0,0.0,3.24,46.32379527001597,2.9923028831940863,25.651484454403228,triethylamine,0.066,8471.0,-114.7,-1.1804560644581312,-131.1462335263278,-0.3579038305972574,-0.1376829835,-1.545867629067887,-1.1804560644581312,-133.7681825833906
232,228,A-384,(methylsulfanyl)methane,InChI=1S/C2H6S/c1-3-2/h1-2H3,QMMFVYPAHWMCMS-UHFFFAOYSA-N,CSC,-0.9312189022,0.2255654514204815,4,G5,62.137,0.9792,19.439,3.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,25.2273031675914,1.6329931618554523,2.754887502163468,dimethyl sulfide,0.0056,1068.0,-98.3,-2.2518119729937993,-132.77561362167313,-0.8811417400734232,-0.9312189022,-2.367320127295744,-2.2518119729937998,-138.50799257239635
234,230,A-387,"2,4,5-trichloroaniline","InChI=1S/C6H4Cl3N/c7-3-1-5(9)6(10)2-4(3)8/h1-2H,10H2",GUMCAKKKNKYFEB-UHFFFAOYSA-N,Nc1cc(Cl)c(Cl)cc1Cl,-3.4359504856,0.0,1,G1,196.464,3.229,45.88440000000001,10.0,1.0,1.0,4.0,0.0,54.0,1.0,0.0,0.0,1.0,26.02,73.6810924971547,3.2824629074535228,209.1649958700664,"2,4,5-trichlorobenzenamine",13.0,12487.0,96.5,1.1139433523068367,77.09339729377312,-3.3819726358233573,-3.4359504856,0.9000224331851785,1.1139433523068367,68.0652007718559
235,231,A-388,2-chloro-6-(trichloromethyl)pyridine,"InChI=1S/C6H3Cl4N/c7-5-3-1-2-4(11-5)6(8,9)10/h1-3H",DCUJJWWUNKIJPH-UHFFFAOYSA-N,Clc1cccc(n1)C(Cl)(Cl)Cl,-3.506108364,0.1516645309174124,3,G5,230.909,3.5617,48.484000000000016,11.0,1.0,0.0,5.0,0.0,60.0,1.0,0.0,0.0,1.0,12.89,84.22905812236678,3.059901692217984,255.0043502283665,2-chloro-6-(trichloromethyl)-pyridine,0.62,16004.0,63.0,-0.2076083105017461,37.85526957158585,-3.5269674560143507,-3.506108364,-0.3979031488451089,-0.2076083105017461,32.64592990606
236,232,A-389,3-hydroxynaphthalene-2-carboxylic acid,"InChI=1S/C11H8O3/c12-10-6-8-4-2-1-3-7(8)5-9(10)11(13)14/h1-6,12H,(H,13,14)",ALKYHXVLJMQRLQ-UHFFFAOYSA-N,OC(=O)c1cc2ccccc2cc1O,-3.4172455835,0.5713337518000001,2,G2,188.182,2.2436000000000003,52.57210000000003,14.0,2.0,2.0,3.0,1.0,70.0,2.0,0.0,0.0,2.0,57.53,80.22799937006457,2.7705108102676235,502.858845345137,3-hydroxy-2-naphthalenecarboxylic acid,7000.0,7104.0,222.5,3.8450980400142565,163.35775660434044,-3.019156829492108,-3.4172455835,5.19629383951031,3.845098040014257,190.1055384102024
241,237,A-398,tributyl[(tributylstannyl)oxy]stannane,"InChI=1S/6C4H9.O.2Sn/c6*1-3-4-2;;;/h6*1,3-4H2,2H3;;;",APQHKWPGGHMYKJ-UHFFFAOYSA-N,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,-3.9228515135,0.0,1,G1,596.117,9.694599999999998,130.88300000000007,27.0,1.0,0.0,3.0,20.0,164.0,0.0,0.0,0.0,0.0,9.23,182.5799433902707,5.663274909219512,245.95415876345749,hexabutyldistannoxane,76.0,16682746.0,45.0,1.8808135922807911,121.47822385764374,-4.913144074542175,-3.9228515135,-1.1305523823965231,1.8808135922807911,66.08960563639141
242,238,A-400,"Hydrocarbons, C5-rich","InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",OFBQJSOFQDEBGM-UHFFFAOYSA-N,CCCCC,-3.006984006,0.4214263365785238,8,G5,72.151,2.1965000000000003,25.19899999999999,5.0,0.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,34.19901948541599,2.19060968716425,7.509775004326936,pentane,8e-06,8003.0,-129.7,-5.096910013008055,-138.39528843169555,-3.017037384871427,-3.006984006,-5.02489487402099,-5.096910013008055,-135.68858546359868
247,243,A-409,butyl acetate,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(C)=O,-1.2199585633,0.1482062664120942,6,G5,116.15999999999998,1.3496,31.540999999999983,8.0,2.0,0.0,2.0,3.0,48.0,0.0,0.0,0.0,0.0,26.3,49.83902892936324,2.822354554248032,68.92878689342031,butyl ethanoate,0.024,31272.0,-78.0,-1.6197887582883939,-100.8062703552876,-1.2292028516296485,-1.2199585633,-1.6767403586228482,-1.619788758288394,-102.24235512142654
262,258,A-433,"4-(2,4,4-trimethylpentan-2-yl)phenol","InChI=1S/C14H22O/c1-13(2,3)10-14(4,5)11-6-8-12(15)9-7-11/h6-9,15H,10H2,1-5H3",ISAVYTVYFVQUDY-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccc(O)cc1,-4.4694622333,0.0,1,G1,206.329,4.106000000000003,65.20480000000005,15.0,1.0,1.0,1.0,2.0,84.0,1.0,0.0,0.0,1.0,20.23,93.14517378686584,2.9042644126592805,314.18709142485733,"4-(1,1,3,3-tetramethylbutyl)-phenol",2.3,8814.0,84.5,0.3617278360175928,95.46526746548432,-4.44870749331707,-4.4694622333,0.1968588487406521,0.3617278360175928,89.36127032549463
