CID,Melting Point
5366415,Decomposes without melting
12487,96.5 °C
16004,"144.5 to 145.2 °F (NTP, 1992)"
16004,63.0 °C
16004,63 °C
16004,145°F
7104,222.5 °C
7104,222-223 °C
7104,"Lemon to greenish yellow, odorless powder, MP: 218 °C (minimum) /Commercial product, 98% purity/"
7104,220 °C
16682746,45 °C
8003,"-202 °F (NTP, 1992)"
8003,-129.7 °C
8003,-129.67 °C
8003,-129°C
8003,-129 °C
8003,-202°F
853433,"14 °F (NTP, 1992)"
853433,11.75 °C
853433,-10 °C
853433,-10°C
31272,"-108.2 °F (NTP, 1992)"
31272,-78.0 °C
31272,-77 °C
31272,-77°C
31272,-78 °C
31272,-107°F
8337,"347 °F (decomposes) (NTP, 1992)"
14827,887 °C
14827,"MP: 897 °C, begins to sublime before melting"
14827,888 °C
7333,179.0 °C
7333,179 °C
62332,44°C
517637,-3°C
24456,>450
24456,1670 °C
3033,283-285 °C
3033,156-158 °C
3033,283-285°C
69776,181.0 °C
8814,84.5 °C
8814,85 °C
8814,84.5°C
1752,42.0 °C
1752,42 °C
1752,41-42.5°C
637566,"less than 5 °F (NTP, 1992)"
637566,-15 °C
637566,<-15°C
7043,22.5 °C
7043,22.5°C
6540,"-94 °F (NTP, 1992)"
6540,-70.0 °C
6540,-70 °C
8462,"27.5 °F (NTP, 1992)"
8462,-2.5 °C
9782,178°C
9782,247.5 °C
9782,"231-234 °C, decomposes"
9782,231-234°C
1923,"169 °F (NTP, 1992)"
1923,75.5 °C
1923,73-75 °C
74904,44.0 °C
62695,-122.2 °C
62695,-139.3 °C /cis-2-Butene/
62695,-105.52 °C
62695,-105.5 °C
6557,"-184 °F (NTP, 1992)"
6557,-145.9 °C
6557,-145.95 °C
6557,The generally accepted crystal melting temperature of natural rubber is 30 °C.
6557,-146 °C
7410,"67.5 °F (USCG, 1999)"
7410,20.0 °C
7410,19.4 °C
7410,20°C
7410,20 °C
7410,67.5°F
7983,"-133 °F (USCG, 1999)"
7983,-91.5 °C
7983,-91.5°C
7983,-133°F
18183610,205-230°C
1017,"410 to 412 °F (decomposes) (NTP, 1992)"
1017,Decomposes at 230 °C
1017,"Melting point: ca. 210 °C, converted into phthalic anhydride with the elimination of water."
1017,"Triple point temperature and pressure = 464.15 K (estimated to be equal to the melting point), 7.8183X10+3 Pa"
1017,Melting point = 464.15 K (determined in a sealed tube)
1017,205-230°C
1017,410-412°F
11335,"120 °F (NTP, 1992)"
11335,45.7 °C
11335,49 °C (also reported as 45.62 °C)
11335,49°C
11123,"145 to 147 °F (NTP, 1992)"
11123,63.5 °C
11123,63-64 °C
93009,29.0 °C
6649,150-160 °C (decomposes)
643790,7 °C (45 °F)
135373094,31.9°C
2969,"88.7 °F (NTP, 1992)"
2969,31.9 °C
2969,31.5 °C
2969,31.9°C
6360,"-427.5 °F (USCG, 1999)"
6360,-138.3 °C
6360,-160 °C
6360,-216.9°F
6360,-255°F
7843,"-217.1 °F (NTP, 1992)"
7843,-138.2 °C
7843,-138.3 °C
7843,-138 °C
7843,-217°F
6324,"-279.9 °F (USCG, 1999)"
6324,-182.8 °C
6324,-182.794 °C
6324,-182.79°C.@760.00mmHg(est)
6324,-183 °C
127,152.0 °C
127,148-150°C
7695,84.0 °C
7695,84°C
14935,125.6 °C
7064,226.5 °C
7064,227-228 °C
7064,228 °C
8918,-26.0 °C
8918,-26°C
931,"176.4 °F (NTP, 1992)"
931,80.2 °C
931,Sublimes appreciably at  temperatures above melting point; volatile with steam
931,80.3°C
931,80 °C
931,176°F
440917,"-142.4 °F (NTP, 1992)"
440917,-86.4333333333 °C
440917,-74 °C
440917,-90°C
4632,"151 °F (NTP, 1992)"
4632,65.5 °C
4632,65.5°C
7165,-34.0 °C
7165,-34°C
107,107.0 °C
107,45-48°C
638011,Melting point <-10 °C.
12093,198.0 °C
14834,"400 °C, decomposes"
2995,214-218 °C
2995,214-218°C
1140,"-139 °F (NTP, 1992)"
1140,-94.9 °C
1140,-95°C
1140,-95 °C
1140,-139°F
7674,-29.5 °C
7674,-30.0 °C
8905,"482 °F approximately with decomposition (NTP, 1992)"
20994,119.5 °C
1176,"275 °F (NTP, 1992)"
1176,132.7 °C
1176,132 °C to 135 °C
1176,132.70 °C
1176,Ionization potential = 9 eV; Latent heat of fusion = 15.4 kJ/mol (at melting point); Latent heat of sublimation = 87.9 kJ/mol @ 25 °C; Heat of formation = -333.7 kJ/mol @ 25 °C; Decomposition temp = 135 °C
1176,132°C
1176,132.7-135 °C
7932,"13.5 °F (NTP, 1992)"
7932,-10.4 °C
7932,-10 °C
8882,"-211 °F (USCG, 1999)"
8882,-135.1 °C
6431,-100.7 °C
6431,-100.015 °C
61041,<25°C
66609,93.5 °C
1254,"100 °F (NTP, 1992)"
1254,39.0 °C
1254,-8 °C
1254,MP: 43 °C /L-Menthol 2216-51-5/; MP 38 °C /DL-Menthol 89-78-1/
7564,"163 to 167 °F (NTP, 1992)"
7564,66.0 °C
7564,75 °C
936,"264 to 268 °F (NTP, 1992)"
936,130.0 °C
936,128.8 °C
936,130°C
936,127-131 °C
5930,"482 to 500 °F (decomposes) (NTP, 1992)"
7948,"147 °F (NTP, 1992)"
7948,63.6 °C
7948,64 °C
7958,"-51.5 °F (NTP, 1992)"
7958,-41.5 °C
7958,-41.5°C
7958,-42 °C
7958,-51.5°F
7958,-43°F
7127,"25 °F (NTP, 1992)"
7127,-4 °C
7127,-4°C
7499,-108.9 °C
7499,-109 °C
7499,-150°F
10621,262.0 °C
8184,"60.6 °F (USCG, 1999)"
8184,19.0 °C
8184,19 °C
8184,19°C
8184,15.9 °C
93013,97.0 °C
6731,"320 °F (Sublimes) (NTP, 1992)"
6731,241.0 °C
6731,241 °C
26447,-6.0 °C
26447,-6°C
7947,"-49 °F (NIOSH, 2016)"
7947,-44.7 °C
7947,-44.8 °C
7947,Liquid Molar Volume= 0.139524 cu m/kmol; IG Heat of Formation= -1.59X10+7 J/kmol; Heat of Fusion at the melting point= 9.5144X10+6 J/kmol
7947,-44.7°C
7947,-45 °C
7947,-49°F
8491,66.5 °C
8491,68 °C
7616,"-136.3 °F (NTP, 1992)"
7616,-93.5 °C
7616,-93.5°C
222,"-107.9 °F (EPA, 1998)"
222,-77.7 °C
222,-77.7°C
222,-78 °C
222,-107.9°F
222,-108°F
12138,137.0 °C
7151,38-43
7151,42.5 °C
7151,38°C
7403,164.5 °C
7403,164.5-165.5 °C
9633,-103.0 °C
9633,-100.6 °C
10687,"167 °F (NTP, 1992)"
10687,72.8 °C
10687,75 °C (also reported as 72.57 °C)
10687,75°C
10687,25-75 °C
2788,"352 to 354 °F (NTP, 1992)"
2788,178.5 °C
2788,178-179 °C
7632,24.5 °C
7632,29-30°C
13243,78.0 °C
15435,76.0 °C
44102,"Decomposes (NTP, 1992)"
12213213,"Decomposes (NTP, 1992)"
2541,183-185 °C
7954,154.0 °C
7954,146 °C
7954,154 °C
123630,140-147
66737,14.5 °C
439263,"100 °F (NTP, 1992)"
439263,-22°C
19518,168.0 °C
8103,"-48.3 °F (USCG, 1999)"
8103,-44.6 °C
8103,-44.6°C
16666,"100 °F (NTP, 1992)"
16666,39.0 °C
16666,41-43 °C
16666,43°C
15413,"-164.2 °F (USCG, 1999)"
15413,-108.6 °C
15413,-109 °C
15413,-164.2°F
7656,-26.0 °C
4312530,"545 °F (decomposes) (NTP, 1992)"
8554,"32 °F (NTP, 1992)"
8554,5.5 °C
8554,32°F
8554,42°F
11057,"419 °F (Decomposes) (NTP, 1992)"
11057,215 °C (decomposes)
12810,-27.00°C.@760.00mmHg
61198,-11.3 °C
61198,Freezing point: -11.3 °C
61198,2 °C
62433,-78.8 °C
12736,128.0 °C
12736,130-132 °C
12736,127-129°C
3893,"111 °F (NTP, 1992)"
3893,43.2 °C
3893,43.8 °C
3893,MP: 48 °C
3893,44-46°C
3961,178-184
3961,184.0 °C
3961,183.5-184.5 °C
3961,183.5-184.5°C
6616,"122 °F (USCG, 1999)"
6616,51.6 °C
6616,52 °C
6616,Melting point: 46 °C /Technical product/
6616,Melting point: 51.5 °C; specific gravity: 0.879 @ 20 °C/4 °C /dl-Form/
6616,46 °C
8050,-18.0 °C
8050,-18 °C
8050,-18°C
3117,"158 °F (NTP, 1992)"
3117,71.5 °C
3117,71.5°C
3117,71 °C
3117,158°F
61221,105 °C
7455,"91 °F (NTP, 1992)"
7455,33.2 °C
7243,"216 to 219 °F (NTP, 1992)"
7243,102.5 °C
7243,102.1 °C
7243,103-104 °C
7243,216-219°F
5143,"greater than 572 °F (Decomposes) (NTP, 1992)"
5143,228 °C decomposes
5143,224°C
67717,72.5 °C
8174,"44 °F (USCG, 1999)"
8174,6.9 °C
8174,7 °C
8174,Surface tension = 0.029742 N/m (at melting point)
8174,6.9°C
13097,156.5 °C
14311,-19.4 °C
8437,33.5 °C
8437,-28 °C
8437,28 °C
13,"63 °F (NTP, 1992)"
13,17.0 °C
13,16.92 °C
13,17 °C
13,63°F
8254,"-217.3 °F (NTP, 1992)"
8254,-141.5 °C
735755,127.0 °C
735755,126-128°C
8056,-16.5 °C
8404,"-23.1 °F (USCG, 1999)"
8404,-35.7 °C
8404,-35.8 °C
7784,-32.4 °C
7784,-38 °C
6937,46.5 °C
6937,46 °C
6277,"284 °F (USCG, 1999)"
6277,298 °C (decomposes)
25644,41°F
6051,"262 °F (NTP, 1992)"
6051,127.0 °C
6051,128 °C
17004,51.5 °C
17004,55 °C
7555,27.0 °C
7991,"-30.1 °F (NTP, 1992)"
7991,-34.0 °C
7991,-34.5 °C
7991,-34°C
7394,"-33 °F (NTP, 1992)"
7394,-33.0 °C
7394,-33 °C
7394,-33°F
7112,283.0 °C
31269,"437 °F (decomposes) (NTP, 1992)"
31269,225 °C (decomposes)
7311,56.5 °C
7311,56.5°C
281,"-326 °F (USCG, 1999)"
281,"-337 °F (NIOSH, 2016)"
281,-205.02 °C
281,-56.5°C
281,-205 °C
281,-337°F
61143,-73.5 °C
21984,128.0 °C
11966,"46 °F (NTP, 1992)"
11966,8.0 °C
11966,8 °C
6368,"-179 °F (USCG, 1999)"
6368,-117.0 °C
6368,-118.6 °C
6368,-117 °C
6548,31.5 °C
6384,"-267 °F (NIOSH, 2016)"
6384,-172.0 °C
6384,-172 °C
6384,-168 °C
6384,-267°F
5284378,"greater than 617 °F (NTP, 1992)"
12116,134.0 °C
6547,101.5 °C
6547,221 °F (105 °C)
11987,24.0 °C
6866,93.0 °C
6926,"617 °F (decomposes) (NTP, 1992)"
8481,149.0 °C
8481,149 °C
8441,"284 to 288 °F (NTP, 1992)"
8441,141.0 °C
8441,141 °C
8441,Heat of fusion at melting point = 3.1630X10+7 J/kmol
8441,140 °C
7347,109.5 °C
8030,"-36.8 °F (NTP, 1992)"
8030,-39.4 °C
8030,-38.3°C
8030,-38 °C
6623,"307 to 313 °F (NTP, 1992)"
6623,153.0 °C
6623,160 °C
6623,MP: 150-155 °C (solidification range)
6623,156-157°C
6623,150-157 °C
6623,307-313°F
6407,"-71.5 °F (NTP, 1992)"
6407,-57.5 °C
8723,FREEZING POINT: LESS THAN -70 °C
31260,"-179 °F (NIOSH, 2016)"
31260,-117.2 °C
31260,-117.2°C
31260,-117 °C
31260,-179°F
7222,2.0 °C
7222,2 °C
7222,2°C
8497,"284 to 288 °F (NTP, 1992)"
8497,141.0 °C
8497,140-141 °C
8359,243 °C WITH DECOMPOSITION
8400,"279 °F (NTP, 1992)"
8400,134-138
8400,137.0 °C
8400,MP:133-4 °C /D & L FORMS/
8400,137°C
8400,137 °C
957,"5 °F (USCG, 1999)"
957,-15.5 °C
957,-14.7 °C
957,-15.5°C
8294,<25°C
31405,"97 °F (USCG, 1999)"
31405,39.0 °C
31405,37 °C
31405,36-37 °C
7635,-80.0 °C
7635,-80 °C
11918,-17.9 °C
5273469,39.0 °C
5273469,39 °C
5273469,MELTING POINT: 35-36 °C /TRANS/; 30 °C /CIS/
6532,<25°C
61585,78.5 °C
61585,77.2-77.9°C
15020,204°C
8455,25.0 °C
13690,151.5 °C
637520,36.0 °C
637776,18.0 °C
13224,73.8 °C
12529,-73.5 °C
12529,-73.5°C
15088,67.5 °C
7501,"-24 to -23 °F (NTP, 1992)"
7501,-31.0 °C
7501,-30.65 °C
7501,Latent heat of fusion: 10.95 kJ/mole (at melting point); Latent heat of sublimation: 43.9 kJ/mole (25 °C); Heat of formation: 103.8 kJ/mole (25 °C); Ionization potential: 8.42 eV
7501,-33°C
7501,-30.6 °C
7501,240 °C
7501,-23°F
16990,90.5 °C
8175,"64 °F (USCG, 1999)"
8175,-5.0 °C
8175,-3.9 °C
8175,Liquid Molar Volume = 0.190278 cu m/kmol; IG Heat of Formation = -3.2589X10+8 J/kmol; Heat Fusion at Melting Point = 3.45X10+7 J/kmol
8175,-5°C
1549026,<25°C
8467,"171 to 172 °F (NTP, 1992)"
8467,77.5 °C
8467,76.7 °C
8467,76-78°C
17355,-13.0 °C
517121,"437 °F (NTP, 1992)"
517121,230-250 °C
517202,"437 °F (NTP, 1992)"
517202,230-250 °C
7385,"greater than 572 °F (decomposes) (NTP, 1992)"
5754,218.5 °C
5754,217-220 °C with some decomposition
5754,220°C
7391,66.0 °C
10899,"-189 °F (USCG, 1999)"
10899,-122.8 °C
10899,Liquid Molar Volume = 0.088777 cu m/kmol; Ideal Gas Heat of Formation = -1.3318X10+8 J/kmol; Heat of Fusion at melting point = 5.5440X10+6 J/kmol
8489,"115 °F (NTP, 1992)"
8489,46.0 °C
8489,46 °C
8489,Liquid molar volume = 0.117 cu m/kmol; IG Heat of Formation = 3.72X10+7 J/kmol; Heat of Fusion at melting point = 2.078X10+7 J/kmol
8489,44 °C
7122,56.0 °C
7122,56°C
6564,"-148 °F (NTP, 1992)"
6564,-100.0 °C
6564,-100.4 °C
6564,-100 °C
6564,149°F
6564,-149°F
7670,"-82.3 °F (NTP, 1992)"
7670,-63.5 °C
7670,-63 °C
7256,-15.2 °C
12447,"greater than 392 °F (decomposes) (NTP, 1992)"
8255,"-220.5 °F (NTP, 1992)"
8255,-140.4 °C
8255,-140.7 °C
8255,-140.3 °C
11568,"253 to 259 °F (NTP, 1992)"
11568,123.0 °C
11568,123 °C
135400189,192°C
8368,25.8 °C
8368,2.8 °C
13246,59°C
62842,-58.00to-56.00°C.@760.00mmHg
7319,"369 to 374 °F (NTP, 1992)"
7719,"less than -94 °F (USCG, 1999)"
7719,-76.0 °C
7255,"79 °F (NTP, 1992)"
7255,26.0 °C
7255,26 °C
5281670,303.5 °C
5281670,303-304°C
7254,"7.7 °F (NTP, 1992)"
7254,-13.5 °C
33637,-34.1 °C
33637,-34.1°C
12163,95.0 °C
7474,"182.5 °F (NTP, 1992)"
7474,83.5 °C
7474,82-84 °C
7474,The liquid molar volume is 0.121 cu m/kmol. The IG heat of formation is 3.72X10+7 J/kmol. The heat fusion at the melting point is 1.41X10+7 J/kmol.
7474,182°F
16387,226.28 °C
31217,"38.3 °F (NTP, 1992)"
31217,3.5 °C
31217,38°F
2266,106.5 °C
2266,160.5 °C
2266,106.5°C
19347555,106.5°C
700999,"309 °F (NTP, 1992)"
700999,154.5 °C
700999,154 °C
7840,"-166 °F (USCG, 1999)"
7840,-110.0 °C
7840,-110 °C
7840,Liquid molar volume = 0.09143 cu m/kmol; IG heat of formation = -8.7864X10+7 J/kmol; Heat fusion at melting point = 6.5270X10+6 J/kmol
7840,-166°F
9053,180-182
25711,"339.6 to 342.5 °F (NTP, 1992)"
7015,"122 to 127 °F (NTP, 1992)"
7015,51.0 °C
7015,51 °C
14106,312.5 °C
3102,"alpha-118.6° F; beta-79° F; gamma-117° F. (NTP, 1992)"
3102,47.8 °C
3102,48.5 °C
3102,Melting point: 47 °C (gamma-Benzophenone)
3102,26°C
3102,119°F
8680,-82.7 °C
9964,38.0 °C
73864,162.0 °C
73864,159- 162 °C
13663,34.0 °C
7732,"135 °F (NTP, 1992)"
7732,57.2 °C
7732,57.2°C
7732,57 °C
7732,41°F
7732,135°F
6276,"-110 °F (NTP, 1992)"
6276,-78.9 °C
6276,-79 °C
6276,-78.9°C
7447,"244 °F (NTP, 1992)"
7447,118.0 °C
7447,118 °C
78993,-9.0 °C
6929,140.0 °C
6929,141°C
12819,83.0 °C
5280970,-50.0 °C
216239,205.6 °C
10317,118-118.5 °C
10317,Melting point: Decomposes at 235 °C
8456,"118 to 131 °F (NTP, 1992)"
8456,Between 48 °C and 63 °C
6978,"243 °F (NTP, 1992)"
6348,"-167 °F (EPA, 1998)"
6348,-111.5 °C
6348,-111.7 °C
6348,-111.6°C
6348,-111 °C
6348,-169°F
7150,"10 °F (NTP, 1992)"
7150,-15.0 °C
7150,-12.35 °C
7150,-12.3°C
7150,-12 °C
3672,75-77.5 ºC
3672,75-77 °C
3672,76°C
522606,480 °C with decomposition.
13263,88.0 °C
13263,83.6 °C
5798,"338 to 342 °F (NTP, 1992)"
5798,170.5 °C
7956,"greater than 680 °F (DEC.) (NTP, 1992)"
7956,360.0 °C
7956,360 °C
7956,360°C
7977,-46.5 °C
66,"133 to 136 °F (NTP, 1992)"
66,59.0 °C
66,59 °C
66,59°C
31218,"-54 °F (NTP, 1992)"
31218,-48.0 °C
31218,-48 °C
26049,<25°C
14806,"3587 °F (NIOSH, 2016)"
14806,1974 °C
14806,1975 °C
14806,3587°F
23982,1313 °C
7868,"-136.3 °F (USCG, 1999)"
7868,-93.5 °C
7868,-93 °C
15324,179 °C
8342,"379.4 °F (USCG, 1999)"
8342,195.0 °C
8342,195 °C
8342,Melting Point: greater than or equal to 188 °C /Technical Grade/
14782,"Greater than 2732° F (EPA, 1998)"
14782,2599°F
8167,-15.0 °C
8167,-15°C
9635,14.2 °C
9635,14.37 °C
8371,"552 °F (decomposes) (NTP, 1992)"
8371,290.0 °C
8371,292 °C (SEALED TUBE)
8371,290 °C
18827,175°C
8302,-156.5 °C
6388,-130.8 °C
6388,-131 °C
6345,-136.0 °C
6345,-136.8 °C
6396,-99.0 °C
6396,-99.06 °C
7488,83.5 °C
7488,82-84 °C
7488,79.5-84 °C
7766,"-45 °F (NTP, 1992)"
7766,-43.0 °C
7766,-43 °C
11899,"84 to 90 °F (NTP, 1992)"
11899,34.0 °C
11899,34 °C
11899,30-33 °C
16724,<15°C
5352425,"621.5 °F (NTP, 1992)"
5352425,327.4 °C
5352425,327.5 °C
5352425,621.5°F
5352425,621°F
7795,-73.2 °C
7795,-73.2°C
70815,302.5 °C
1712058,80°C
8006,-58.9 °C
8006,-58.90 °C
2707,"135 °F (NTP, 1992)"
2707,57.0 °C
2707,57 °C
2707,MP: 57 °C when heated in an open vessel. BP 98 °C with dissociation into chloral and water.
2707,57-60 °C
69257,293.0 °C
6433657,>270 °C
23368,-1.1 °C
23368,-1°C
15595,77.5 °C
12837,56.0 °C
26177,27.0 °C
6895,"126.7 °F (NTP, 1992)"
6895,53.5 °C
6895,51.3 °C
5238,651 °C
5238,660 °C
66639,72.5 °C
62097,66 °C
135406868,268-271 °C
8033,"-40 °F (NTP, 1992)"
8033,-40.0 °C
8033,-40 °C
8033,MP: -29 °C
637758,7.0 °C
17520,156.6 °C
17520,157-158°C
13187,"-5.8 °F (USCG, 1999)"
13187,-7.5 °C
13187,-15°C
8461,71.0 °C
8461,70.5 °C
8461,71 °C
8461,158°F
7237,"-13 to -9 °F (NTP, 1992)"
7237,-25.2 °C
7237,-25.16 °C
7237,-25 °C
7237,-13°F
7809,"55.9 °F (NTP, 1992)"
7809,13.2 °C
7809,13.3 °C
7809,13 °C
7809,56°F
638014,-35 °C
17016,58.0 °C
17016,58 °C
17016,63.5-64°C
7929,"-54.2 °F (NTP, 1992)"
7929,-47.8 °C
7929,-47.85 °C
7929,-48 °C
7929,-54°F
24261,"3110 °F (NIOSH, 2016)"
24261,3110 °F
24261,1710 °C
24261,1716-1736°C
24261,1703 °C
24261,1610 °C
24261,1713 °C
24261,3110°F
6739,"45 to 48 °F (NTP, 1992)"
6739,15.0 °C
6739,15 °C
8361,"106 to 109 °F (NTP, 1992)"
8361,41-43
8361,43°C
7601,26.5 °C
7601,28°C
8560,"-94 °F (NTP, 1992)"
8560,freezing point: -70 °C
8560,-70 °C
7594,"302 °F (NTP, 1992)"
7594,150.0 °C
7594,150 °C
6387,-0.5 °C
6387,Heat of fusion at melting point = 2.0782X10+7 J/kmol
6387,0 °C
8298,46.55 °C
8298,37.0 °C
8298,30.00to34.00°C.@760.00mmHg
949,"36.4 °F (NTP, 1992)"
949,2.5 °C
949,2.1 °C
949,2.5°C
949,36°F
4875,"1258 °F (USCG, 1999)"
4875,681 °C
637511,"18.5 °F (NTP, 1992)"
637511,-7.5 °C
637511,-7.5°C
1983,"336 to 342 °F (NTP, 1992)"
1983,170.0 °C
1983,168 °C
1983,MP: 169-170.5 °C
1983,170°C
1983,169-170 °C
7441,"268 to 271 °F (NTP, 1992)"
7441,133.5 °C
8914,"23 °F (USCG, 1999)"
8914,-5.0 °C
8914,-5 °C
8914,-5°C
174223,"greater than 572 °F (NTP, 1992)"
61014,0-7°C
7962,"-194.8 °F (USCG, 1999)"
7962,-126.6 °C
7962,-126.7 °C
7962,-196°F
6629,"less than -40 °F (NTP, 1992)"
6629,-9.0 °C
6629,-9 °C
16949,-37.0 °C
12021,3.0 °C
12021,0.5 °C
12021,0.5°C
12021,3 °C
31225,<25°C
7650,21.00°C.@760.00mmHg
10352,45.0 °C
6991,"36 °F (NTP, 1992)"
6991,9.0 °C
7433,205.0 °C
2723789,"356 to 363 °F (EPA, 1998)"
2723789,183.0 °C
2723789,183 °C
23284,Freezing point: -70 °C
23284,-94°F
8333,147.0 °C
10943,"-12.6 °F (NTP, 1992)"
10943,-24.8 °C
88267,2.0 °C
1731,107.0 °C
7443,"109 °F (NTP, 1992)"
7443,43.0 °C
7443,43 °C
7443,Has both a stable and labile form. The stable alpha-form has a melting point of 42-43 °C and beta-form is a liquid which changes to the alpha-form at 15 °C
7443,39-41 °C
6326,"-119 °F (Sublimes) (NIOSH, 2016)"
6326,-80.7 °C
6326,-80.7 °C (triple point)
6326,-119°F (Sublimes)
7148,18.6 °C
7148,21 °C
7148,CONGEALING TEMP: 17.5-21 °C
7148,19-20°C
28777,92.6 °C
14783,approximately 1480 °C
11890,40.5 °C
697993,"351 to 358 °F (NTP, 1992)"
697993,181.0 °C
697993,180.2-181.7 °C
