Species,Hcp
"2,4,6-trimethylheptane",7.5e-07
"2,5,5-trimethylheptane",1.1e-06
"3,3,4-trimethylheptane",1.9e-06
"3,3,5-trimethylheptane",0.12
"3,4,4-trimethylheptane",1.9e-06
"3,4,5-trimethylheptane",2.3e-06
3-ethyl-2-methylheptane,2e-06
4-ethyl-2-methylheptane,1.4e-06
5-ethyl-2-methylheptane,1.4e-06
3-ethyl-3-methylheptane,2.2e-06
4-ethyl-3-methylheptane,2.2e-06
3-ethyl-5-methylheptane,1.3e-06
3-ethyl-4-methylheptane,2.2e-06
4-ethyl-4-methylheptane,2.4e-06
4-propylheptane,1.6e-06
4-(1-methylethyl)-heptane,2.1e-06
"2,2,3,3-tetramethylhexane",1.8e-06
"2,2,3,4-tetramethylhexane",1.2e-06
"2,2,3,5-tetramethylhexane",8.4e-07
"2,2,4,4-tetramethylhexane",8.8e-07
"2,2,4,5-tetramethylhexane",8e-07
"2,2,5,5-tetramethylhexane",4.6e-07
"2,3,3,4-tetramethylhexane",1.4e-06
"2,3,3,5-tetramethylhexane",9.2e+07
"2,3,4,4-tetramethylhexane",1.3e-06
"2,3,4,5-tetramethylhexane",1.2e-06
"3,3,4,4-tetramethylhexane",2.2e-06
"3-ethyl-2,2-dimethylhexane",1.8e-06
"4-ethyl-2,2-dimethylhexane",1.1e-06
"3-ethyl-2,3-dimethylhexane",2e-06
"4-ethyl-2,3-dimethylhexane",1.6e-06
"3-ethyl-2,4-dimethylhexane",0.16
"4-ethyl-2,4-dimethylhexane",1.3e-06
"3-ethyl-2,5-dimethylhexane",1.1e-06
"4-ethyl-3,3-dimethylhexane",1.9e-06
"3-ethyl-3,4-dimethylhexane",2.2e-06
"3,3-diethylhexane",3.4e-06
"3,4-diethylhexane",1.8e-06
2-methyl-3-(1-methylethyl)-hexane,1.5e-06
"2,2,3,3,4-pentamethylpentane",1.3e-06
"2,2,3,4,4-pentamethylpentane",8.6e-07
"3-ethyl-2,2,3-trimethylpentane",2.1e-06
"3-ethyl-2,2,4-trimethylpentane",1.2e-06
"3-ethyl-2,3,4-trimethylpentane",1.5e-06
"3,3-diethyl-2-methylpentane",2.3e-06
"2,4-dimethyl-3-(1-methylethyl)-pentane",1e-06
undecane,5.4e-07
dodecane,1.3e-06
"2,2,4,6,6-pentamethylheptane",1.1e-06
tridecane,7.9e-07
tetradecane,1.1e-06
pentadecane,7.6e-07
hexadecane,2.6e-06
heptadecane,2.2e-07
octadecane,0.16
nonadecane,1.3e-07
eicosane,5e-06
heneicosane,7.3e-08
docosane,5.4e-08
tricosane,4.1e+08
tetracosane,3.1e-08
pentacosane,1.5e-08
hexacosane,5e-05
heptacosane,7.7e-09
octacosane,5.6e-09
nonacosane,4e-09
triacontane,2.9e-09
dotriacontane,0.15
pentatriacontane,5.8e-10
hexatriacontane,8.6e+08
octatriacontane,2.2e-10
cyclopropane,0.00011
cyclobutane,7e-05
cyclopentane,5.4e-05
cyclohexane,0.56
cycloheptane,8.2e-05
cyclooctane,7.1e-05
methylcyclopentane,2.7e-05
methylcyclohexane,2.5e-05
methylcyclohexane-d14,0.00031
ethylcyclohexane,2.1e-05
methylcycloheptane,2.1e-05
"1,2-dimethylcyclohexane",2.1e-05
"cis-1,2-dimethylcyclohexane",2.8e-05
"trans-1,2-dimethylcyclohexane",0.17
"1,4-dimethylcyclohexane",1.5e-05
"trans-1,4-dimethylcyclohexane",1.1e-05
"1,1,2-trimethylcyclopentane",6.9e-06
"1,1,3-trimethylcyclopentane",6.3e-06
"1,1,3-trimethylcyclohexane",9.5e-06
propylcyclopentane,1.1e-05
pentylcyclopentane,5.4e-06
cyclooctene,0.00021
decahydronaphthalene,0.72
octahydro-1H-indene,8.8e-05
"2,6,6-trimethylbicyclo[3.1.1]heptane",2.8e-05
"1,1’-bicyclohexyl",3.1e-05
cyclododecane,6.4e-06
"octahydro-1,1,2,3,3-pentamethyl-1H-indene",9e-06
"1,1’:3’,1”-tercyclohexane",6.7e-06
"1,1’-(2-methylpentane-2,4-diyl)dicyclohexane",2.9e-06
ethene,5.9e-05
propene,4.7e-05
1-butene,0.00013
2-butene,5.1e-05
cis-2-butene,0.55
trans-2-butene,3.9e-05
2-methylpropene,5.6e-05
1-pentene,2.5e-05
2-pentene,4.4e-05
cis-2-pentene,4.4e-05
trans-2-pentene,4.2e-05
2-methyl-1-butene,2.3e-05
2-methyl-2-butene,7.4e-05
3-methyl-1-butene,0.18
1-hexene,2.4e-05
2-methyl-1-pentene,3.6e-05
4-methyl-1-pentene,1.6e-05
"2,3-dimethyl-1-butene",1.7e-05
1-heptene,2.3e-05
2-heptene,1.7e-05
trans-2-heptene,2.4e-05
1-octene,1e-05
"2,4,4-trimethyl-1-pentene",1.3e-05
"2,4,4-trimethyl-2-pentene",1.1e-05
"3,4,4-trimethyl-2-pentene",1.1e-05
1-nonene,1.2e-05
1-decene,3.7e-06
1-undecene,6.7e-06
1-dodecene,0.23
"2,2,4,6,6-pentamethyl-3-heptene",3.6e-06
1-tridecene,3.8e-06
1-tetradecene,1.2e-06
"1,2-butadiene",0.0001
"1,3-butadiene",13000
"2-methyl-1,3-butadiene",0.00013
"1,2-pentadiene",0.97
"1,3-pentadiene",0.00014
"1,4-pentadiene",8.3e-05
"2,3-pentadiene",0.00011
"1,4-hexadiene",8.4e-05
"1,5-hexadiene",6.9e-05
"2,3-dimethyl-1,3-butadiene",0.0002
"1,6-heptadiene",4.6e-05
1-methylcyclopropene,0.00025
cyclopentene,0.23
cyclohexene,0.00033
1-methylcyclopentene,0.00024
cycloheptene,0.00026
1-methylcyclohexene,0.00012
"1,1,2,3,3-pentamethyl-2,3,4,5,6,7-hexahydro-1H-indene",2.5e-05
"1,3-cyclopentadiene",0.00047
"1,3-cyclohexadiene",0.0011
"1,4-cyclohexadiene",0.0011
"1,3-cycloheptadiene",0.62
"1,5-cyclooctadiene",0.00038
1-ethenylcyclohexene,0.00077
4-ethenylcyclohexene,0.00022
"1,3,5,7-cyclooctatetraene",0.036
"3a,4,7,7a-tetrahydro-4,7-methano-1H-indene",0.00016
"1,5,9-cyclododecatriene",0.00033
ethyne,0.00041
propyne,0.0009
1-butyne,0.00052
2-butyne,0.0019
1-pentyne,0.0004
2-pentyne,0.0011
1-hexyne,0.24
2-hexyne,0.00058
3-hexyne,0.0006
1-heptyne,0.00013
1-octyne,0.00013
2-octyne,0.00022
1-nonyne,6.9e-05
3-buten-1-yne,0.00037
butadiyne,0.2
benzene,0.0017
benzene-d6,0.0018
methylbenzene,0.0015
methylbenzene-d8,0.002
"1,2-dimethylbenzene",0.0024
"1,2-dimethylbenzene-d10",0.003
"1,3-dimethylbenzene",1400
"1,4-dimethylbenzene",0.19
"1,2,3-trimethylbenzene",0.0027
"1,2,4-trimethylbenzene",0.0017
"1,3,5-trimethylbenzene",0.0017
"1,2,3,5-tetramethylbenzene",0.12
"1,2,4,5-tetramethylbenzene",0.00039
ethylbenzene,0.0014
ethylbenzene-d10,0.002
"1,2-diethylbenzene",0.0038
"1,3-diethylbenzene",0.0011
"1,4-diethylbenzene",0.0014
propylbenzene,0.14
1-ethyl-2-methylbenzene,0.0023
1-ethyl-3-methylbenzene,0.0013
1-ethyl-4-methylbenzene,0.002
butylbenzene,0.00077
1-methyl-2-(1-methylethyl)-benzene,0.0009
1-methyl-3-(1-methylethyl)-benzene,0.0014
1-methyl-4-(1-methylethyl)-benzene,0.0013
4-tert-butyltoluene,0.00064
pentylbenzene,0.0017
pentamethylbenzene,0.0077
hexylbenzene,0.00046
hexamethylbenzene,0.0086
4-tert-butyl-o-xylene,0.00058
"1-(1,1-dimethylethyl)-3,5-dimethylbenzene",0.58
diisopropylbenzene,0.00048
heptylbenzene,0.022
"5-tert-butyl-1,2,3-trimethylbenzene",0.00053
octylbenzene,0.054
"3,5-di-tert-butyltoluene",0.0037
"1,3,5-tris(1-methylethyl)benzene",0.00025
ethyl(phenylethyl)-benzene,0.011
1-phenyldecane,0.00013
4-(1-phenylethyl)-m-xylene,0.013
undecylbenzene,9.9e-05
dodecylbenzene,0.76
tridecylbenzene,5.5e-05
tetradecylbenzene,4.2e-05
pentadecylbenzene,1.2e-05
ethenylbenzene,2700
1-propenylbenzene,0.0037
2-propenylbenzene,0.0014
1-ethenyl-3-methylbenzene,0.0031
1-ethenyl-4-methylbenzene,0.31
phenylacetylene,0.0039
1-methyl-4-(1-methylethyl)-cyclohexane,5.6e-06
"1-methyl-4-(1-methylethyl)-1,3-cyclohexadiene",0.29
"1-methyl-4-(1-methylethyl)-1,4-cyclohexadiene",0.00038
1-methyl-4-(1-methylethenyl)-cyclohexene,0.00048
"3,7,7-trimethyl-bicyclo[4.1.0]hept-3-ene",0.00016
"7-methyl-3-methylene-1,6-octadiene",0.00087
1-methyl-4-(1-methylethylidene)-cyclohexene,0.00038
"2-methyl-5-(1-methylethyl)-1,3-cyclohexadiene",0.00018
3-methylene-6-(1-methylethyl)-cyclohexene,0.00018
"3,7-dimethyl-1,3,6-octatriene",0.0004
"2,2-dimethyl-3-methylene-bicyclo[2.2.1]heptane",0.0001
4-methylene-1-(1-methylethyl)-bicyclo[3.1.0]hexane,0.00016
"tricyclo[3.3.1.1(3,7)]decane",0.0008
"bis(1-methylethyl)-1,1’-biphenyl",0.0045
"1,1-bis(3,4-dimethylphenyl)ethane",0.1
1-benzyl-2-(2-methylbenzyl)benzene,0.21
"2,5-dibenzyltoluene",0.21
biphenyl,0.036
"2-methyl-1,1’-biphenyl",0.022
"3-methyl-1,1’-biphenyl",0.015
"4-methyl-1,1’-biphenyl",0.16
diphenylmethane,0.076
"1,2-diphenylethane",0.059
o-terphenyl,0.16
m-terphenyl,2.8
indene,0.0062
5-ethylidene-2-norbornene,7.6e-05
azulene,0.15
naphthalene,0.021
naphthalene-d8,0.035
1-methylnaphthalene,0.22
1-methylnaphthalene-d10,0.046
2-methylnaphthalene,0.018
1-ethylnaphthalene,0.26
2-ethylnaphthalene,0.012
"1,3-dimethylnaphthalene",0.026
"1,4-dimethylnaphthalene",0.032
"1,5-dimethylnaphthalene",0.028
"1,6-dimethylnaphthalene",0.023
"2,3-dimethylnaphthalene",0.016
"2,6-dimethylnaphthalene",0.78
"1,4,5-trimethylnaphthalene",0.018
2-(1-methylethyl)naphthalene,0.012
"1,2-bis(isopropyl)naphthalene",0.0078
acenaphthene,0.072
acenaphthylene,0.082
phenanthrene,0.23
1-methylphenanthrene,0.2
"9,10-dihydrophenanthrene",0.12
"2,3-benzindene",0.11
benzo[a]fluorene,0.37
anthracene,0.2
9-methylanthracene,0.61
"9,10-dimethylanthracene",1.8
pyrene,0.75
1-methylpyrene,3.1
2-methylpyrene,3.1
"2,7-dimethylpyrene",2.9
chrysene,2.3
naphthacene,360
benzo[jk]fluorene,0.69
benz[a]anthracene,1.4
7-methylbenz[a]anthracene,5.2
10-methylbenz[a]anthracene,5.2
12-methylbenz[a]anthracene,5.2
"7,12-dimethyl-benz[a]anthracene",5100
20-methylcholanthrene,1.9
benzo[b]fluoranthene,15
benzo[k]fluoranthene,17
benzo[a]pyrene,0.2
benzo[e]pyrene,33
"dibenzo[a,e]pyrene",700
"dibenzo[a,h]pyrene",700
"dibenzo[a, i]pyrene",700
"dibenz[a,h]anthracene",180
"indeno[1,2,3-cd]pyrene",29
benzo[ghi]perylene,30
benzo[b]triphenylene,19
"dibenz[a,j ]anthracene",86
picene,6.2
"1,2-benzfluoranthene",6.9
"1,2,3,4-tetrahydronaphthalene",0.0051
indane,0.43
"2,3-dihydro-1,1,3,3,5-pentamethyl-1H-indene",0.00075
"1,2,3,4-tetrahydro-1,1,3,4,4,6-hexamethylnaphthalene",0.00042
"1,2,3,4-tetrahydro-5-(1-phenylethyl)-naphthalene",0.016
5-methylchrysene,5.2
benzo[j ]fluoranthene,49
benzo[c]chrysene,80
benzo[g]chrysene,80
"dibenz[a,e]aceanthrylene",700
"dibenzo[b,k]chrysene",1200
carbon monoxide,9.7e-06
carbon dioxide,0.00033
carbon suboxide,0.013
methanol,2
ethanol,1.9
1-propanol,1.4
2-propanol,1.3
glycidol,1700
1-butanol,1.2
2-butanol,1.1
2-methyl-1-propanol,1
2-methyl-2-propanol,0.69
1-pentanol,1
2-pentanol,0.67
3-pentanol,0.63
2-methyl-1-butanol,0.7
3-methyl-1-butanol,0.46
2-methyl-2-butanol,0.71
3-methyl-2-butanol,0.31
"2,2-dimethyl-1-propanol",0.19
1-hexanol,0.57
2-hexanol,0.25
3-hexanol,0.23
2-methyl-1-pentanol,0.23
3-methyl-1-pentanol,0.38
2-methyl-2-pentanol,0.31
3-methyl-2-pentanol,0.28
4-methyl-2-pentanol,0.21
2-methyl-3-pentanol,0.29
3-methyl-3-pentanol,0.21
2-ethyl-1-butanol,0.47
"2,2-dimethyl-1-butanol",0.28
"2,3-dimethyl-1-butanol",0.82
"2,3-dimethyl-2-butanol",0.3
"3,3-dimethyl-2-butanol",0.56
1-heptanol,0.38
2-heptanol,0.2
3-heptanol,0.21
4-heptanol,0.35
2-methyl-1-hexanol,0.69
3-methyl-1-hexanol,0.13
4-methyl-1-hexanol,0.13
5-methyl-1-hexanol,0.28
2-methyl-2-hexanol,0.64
3-methyl-2-hexanol,0.49
4-methyl-2-hexanol,0.5
5-methyl-2-hexanol,0.42
2-methyl-3-hexanol,0.58
3-methyl-3-hexanol,0.77
4-methyl-3-hexanol,0.52
5-methyl-3-hexanol,0.54
2-ethyl-1-pentanol,0.34
3-ethyl-1-pentanol,0.34
"2,2-dimethyl-1-pentanol",0.33
"2,3-dimethyl-1-pentanol",0.36
"2,4-dimethyl-1-pentanol",0.33
"3,3-dimethyl-1-pentanol",0.35
"3,4-dimethyl-1-pentanol",0.35
"4,4-dimethyl-1-pentanol",0.38
3-ethyl-2-pentanol,0.49
"2,3-dimethyl-2-pentanol",0.86
"2,4-dimethyl-2-pentanol",0.57
"3,3-dimethyl-2-pentanol",0.55
"3,4-dimethyl-2-pentanol",0.47
"4,4-dimethyl-2-pentanol",0.68
3-ethyl-3-pentanol,1.1
"2,2-dimethyl-3-pentanol",0.4
"2,3-dimethyl-3-pentanol",0.92
"2,4-dimethyl-3-pentanol",0.38
2-ethyl-2-methyl-1-butanol,0.43
2-ethyl-3-methyl-1-butanol,0.38
"2,2,3-trimethyl-1-butanol",0.43
"2,3,3-trimethyl-1-butanol",0.4
"2,3,3-trimethyl-2-butanol",0.27
1-octanol,0.21
2-octanol,0.27
3-octanol,0.31
4-octanol,0.29
2-methyl-1-heptanol,0.34
3-methyl-1-heptanol,0.21
4-methyl-1-heptanol,0.23
5-methyl-1-heptanol,0.21
6-methyl-1-heptanol,0.11
2-methyl-2-heptanol,0.51
3-methyl-2-heptanol,0.39
4-methyl-2-heptanol,0.34
5-methyl-2-heptanol,0.33
6-methyl-2-heptanol,0.33
2-methyl-3-heptanol,0.38
3-methyl-3-heptanol,0.29
4-methyl-3-heptanol,0.53
5-methyl-3-heptanol,0.56
2-methyl-4-heptanol,0.39
3-methyl-4-heptanol,0.41
4-methyl-4-heptanol,0.45
2-ethyl-1-hexanol,0.38
"2,2-dimethyl-1-hexanol",0.49
"2,4-dimethyl-1-hexanol",0.46
"2,5-dimethyl-1-hexanol",0.41
"3,5-dimethyl-1-hexanol",0.36
3-ethyl-2-hexanol,0.56
"2,3-dimethyl-2-hexanol",0.7
"2,4-dimethyl-2-hexanol",0.89
"2,5-dimethyl-2-hexanol",0.85
"3,4-dimethyl-2-hexanol",0.52
"3,5-dimethyl-2-hexanol",0.7
"5,5-dimethyl-2-hexanol",0.6
3-ethyl-3-hexanol,0.72
4-ethyl-3-hexanol,0.63
"2,2-dimethyl-3-hexanol",78
"2,3-dimethyl-3-hexanol",0.74
"2,4-dimethyl-3-hexanol",0.7
"2,5-dimethyl-3-hexanol",0.72
"3,4-dimethyl-3-hexanol",0.86
"3,5-dimethyl-3-hexanol",0.86
"4,4-dimethyl-3-hexanol",0.72
"5,5-dimethyl-3-hexanol",0.84
2-propyl-1-pentanol,0.41
2-ethyl-2-methyl-1-pentanol,0.43
2-ethyl-4-methyl-1-pentanol,0.44
"2,2,3-trimethyl-1-pentanol",0.47
"2,2,4-trimethyl-1-pentanol",0.56
"2,3,4-trimethyl-1-pentanol",0.36
"2,4,4-trimethyl-1-pentanol",0.52
3-ethyl-2-methyl-2-pentanol,0.74
3-ethyl-4-methyl-2-pentanol,0.63
"2,3,3-trimethyl-2-pentanol",0.7
"2,3,4-trimethyl-2-pentanol",0.74
"2,4,4-trimethyl-2-pentanol",0.99
"3,3,4-trimethyl-2-pentanol",0.61
"3,4,4-trimethyl-2-pentanol",0.74
3-ethyl-2-methyl-3-pentanol,0.7
"2,2,3-trimethyl-3-pentanol",1.1
"2,2,4-trimethyl-3-pentanol",0.89
"2,3,4-trimethyl-3-pentanol",0.76
3-methyl-2-(1-methylethyl)-1-butanol,0.49
1-nonanol,0.11
2-nonanol,0.54
3-nonanol,0.3
4-nonanol,0.31
5-nonanol,0.29
6-methyl-1-octanol,0.21
7-methyl-1-octanol,0.21
2-methyl-2-octanol,0.48
2-methyl-3-octanol,0.41
3-methyl-3-octanol,0.36
2-methyl-4-octanol,0.41
3-methyl-4-octanol,0.46
4-methyl-4-octanol,0.45
3-ethyl-1-heptanol,20
"2,2-dimethyl-1-heptanol",0.32
"2,6-dimethyl-2-heptanol",0.58
"4,6-dimethyl-2-heptanol",0.31
"5,6-dimethyl-2-heptanol",0.32
3-ethyl-3-heptanol,0.43
"2,3-dimethyl-3-heptanol",0.54
"2,6-dimethyl-3-heptanol",0.52
4-ethyl-4-heptanol,0.47
"2,2-dimethyl-4-heptanol",0.54
"2,4-dimethyl-4-heptanol",0.57
"2,5-dimethyl-4-heptanol",0.16
"2,6-dimethyl-4-heptanol",0.17
"3,3-dimethyl-4-heptanol",0.22
2-ethyl-4-methyl-1-hexanol,0.12
3-ethyl-2-methyl-1-hexanol,0.13
"3,4,4-trimethyl-1-hexanol",0.14
"3,5,5-trimethyl-1-hexanol",0.13
"4,5,5-trimethyl-1-hexanol",0.094
3-ethyl-2-methyl-2-hexanol,0.21
3-ethyl-2-methyl-3-hexanol,0.17
3-ethyl-5-methyl-3-hexanol,0.25
"2,2,3-trimethyl-3-hexanol",0.24
"2,2,4-trimethyl-3-hexanol",0.27
"2,2,5-trimethyl-3-hexanol",0.34
"2,4,4-trimethyl-3-hexanol",0.25
"3,4,4-trimethyl-3-hexanol",0.29
4-methyl-2-propyl-1-pentanol,0.13
4-methyl-2-(1-methylethyl)-1-pentanol,0.16
"2-ethyl-2,4-dimethyl-1-pentanol",0.15
"3,3,4,4-tetramethyl-2-pentanol",0.2
"3-ethyl-2,2-dimethyl-3-pentanol",0.23
"3-ethyl-2,4-dimethyl-3-pentanol",0.21
"2,2,3,4-tetramethyl-3-pentanol",0.23
"2,2,4,4-tetramethylpentan-3-ol",0.28
1-decanol,0.076
2-decanol,0.54
4-decanol,0.53
5-decanol,0.73
2-methyl-1-nonanol,0.34
8-methyl-1-nonanol,0.18
2-methyl-3-nonanol,0.57
"2,2-dimethyl-1-octanol",0.57
"3,7-dimethyl-1-octanol",0.5
3-ethyl-3-octanol,0.77
"2,3-dimethyl-3-octanol",1
"2,7-dimethyl-3-octanol",0.9
"3,6-dimethyl-3-octanol",0.96
"3,7-dimethyl-3-octanol",0.85
"2,2-dimethyl-4-octanol",1
"4,7-dimethyl-4-octanol",0.96
2-propyl-1-heptanol,0.4
3-(1-methylethyl)-1-heptanol,0.44
"2,5,6-trimethyl-2-heptanol",0.93
3-ethyl-2-methyl-3-heptanol,0.93
"2,2,3-trimethyl-3-heptanol",1.1
"3,5,5-trimethyl-3-heptanol",0.86
4-propyl-4-heptanol,0.9
4-(1-methylethyl)-4-heptanol,1
"2,2,4-trimethyl-4-heptanol",1.3
"2,4,6-trimethyl-4-heptanol",1.3
2-butyl-1-hexanol,0.44
4-methyl-2-propyl-1-hexanol,0.57
4-methyl-2-(1-methylethyl)-1-hexanol,0.73
5-methyl-2-(1-methylethyl)-1-hexanol,0.48
"2,3,4,4-tetramethyl-2-hexanol",1
2-methyl-3-(1-methylethyl)-3-hexanol,0.96
"4-ethyl-2,2-dimethyl-3-hexanol",1.1
"2,2,3,4-tetramethyl-3-hexanol",0.96
"2,2,4,4-tetramethyl-3-hexanol",1
"2,2,5,5-tetramethyl-3-hexanol",1.7
"2,3,4,4-tetramethyl-3-hexanol",0.73
"3,4,4,5-tetramethyl-3-hexanol",0.7
"3,4,5,5-tetramethyl-3-hexanol",0.88
4-methyl-2-(2-methylpropyl)-1-pentanol,0.66
"2,4-dimethyl-3-propyl-3-pentanol",1.2
"2,4-dimethyl-3-(1-methylethyl)-3-pentanol",0.89
"3-ethyl-2,2,4-trimethyl-3-pentanol",0.99
"2,2,3,4,4-pentamethyl-3-pentanol",0.89
1-undecanol,0.14
1-dodecanol,0.44
"2,6,8-trimethyl-4-nonanol",0.1
1-tridecanol,0.076
1-tetradecanol,0.062
1-pentadecanol,0.22
1-hexadecanol,0.21
1-heptadecanol,0.045
1-octadecanol,0.012
1-nonadecanol,0.099
1-eicosanol,0.47
1-docosanol,0.0062
1-tetracosanol,0.0034
cyclopentanol,4.3
cyclohexanol,2.2
cycloheptanol,4.2
2-methylcyclohexanol,1.3
3-methylcyclohexanol,2.7
cyclododecanol,3.4
perhydrobisphenol a,9.7
"3-(5,5,6-trimethyl-2-norbornyl)cyclohexanol",0.61
"4-(5,5,6-trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",0.61
"4-((1R,2R,4R)-born-2-yl)cyclohexanol",0.61
2-propen-1-ol,2
2-propyn-1-ol,3.8
2-buten-1-ol,2.7
2-methyl-3-buten-2-ol,0.64
2-methyl-3-butyn-2-ol,2.5
3-methyl-1-pentyn-3-ol,0.99
1-octen-3-ol,0.13
bicyclo[2.2.1]heptan-2-ol,2.2
"3,7-dimethyl-1,6-octadien-3-ol",0.2
"tricyclo[3.3.1.1(3,7)]decan-1-ol",6
plinol,1.2
"3,7,11-trimethyl-2,6,10-dodecatrien-1-ol",0.039
dihydroabietyl alcohol,0.19
