,Substance,Hcp
134,"2,2,4,4-tetramethylpentane",9e-07
135,"2,3,3,4-tetramethylpentane",2.7e-06
136,"3-ethyl-2,2-dimethylpentane",1.9e-06
137,"3-ethyl-2,3-dimethylpentane",3.5e-06
138,"3-ethyl-2,4-dimethylpentane",1.9e-06
139,decane,1.4e-06
140,2-methylnonane,1.5e-06
141,3-methylnonane,1.7e-06
142,4-methylnonane,1.6e-06
143,5-methylnonane,0.17
144,"2,2-dimethyloctane",1.3e-06
145,"2,3-dimethyloctane",1.7e-06
146,"2,4-dimethyloctane",1.2e-06
147,"2,5-dimethyloctane",1.3e-06
148,"2,6-dimethyloctane",1.2e-06
149,"2,7-dimethyloctane",1e-06
150,"3,3-dimethyloctane",1.7e-06
151,"3,4-dimethyloctane",2e-06
152,"3,5-dimethyloctane",1.4e-06
153,"3,6-dimethyloctane",1.3e-06
154,"4,4-dimethyloctane",1.5e-06
155,"4,5-dimethyloctane",2.1e-06
156,3-ethyloctane,2.2e-06
157,4-ethyloctane,0.24
158,"2,2,3-trimethylheptane",1.6e-06
159,"2,2,4-trimethylheptane",1.6e-06
160,"2,2,5-trimethylheptane",1.6e-06
161,"2,2,6-trimethylheptane",1.7e-06
162,"2,3,3-trimethylheptane",1.6e-06
163,"2,3,4-trimethylheptane",1.6e-06
164,"2,3,5-trimethylheptane",1.1e-06
165,"2,3,6-trimethylheptane",1.1e-06
166,"2,4,4-trimethylheptane",1.1e-06
167,"2,4,5-trimethylheptane",1.1e-06
168,"2,4,6-trimethylheptane",7.5e-07
169,"2,5,5-trimethylheptane",1.1e-06
170,"3,3,4-trimethylheptane",1.9e-06
171,"3,3,5-trimethylheptane",0.12
172,"3,4,4-trimethylheptane",1.9e-06
173,"3,4,5-trimethylheptane",2.3e-06
174,3-ethyl-2-methylheptane,2e-06
175,4-ethyl-2-methylheptane,1.4e-06
176,5-ethyl-2-methylheptane,1.4e-06
177,3-ethyl-3-methylheptane,2.2e-06
178,4-ethyl-3-methylheptane,2.2e-06
179,3-ethyl-5-methylheptane,1.3e-06
180,3-ethyl-4-methylheptane,2.2e-06
181,4-ethyl-4-methylheptane,2.4e-06
182,4-propylheptane,1.6e-06
183,4-(1-methylethyl)-heptane,2.1e-06
184,"2,2,3,3-tetramethylhexane",1.8e-06
185,"2,2,3,4-tetramethylhexane",1.2e-06
186,"2,2,3,5-tetramethylhexane",8.4e-07
187,"2,2,4,4-tetramethylhexane",8.8e-07
188,"2,2,4,5-tetramethylhexane",8e-07
189,"2,2,5,5-tetramethylhexane",4.6e-07
190,"2,3,3,4-tetramethylhexane",1.4e-06
191,"2,3,4,4-tetramethylhexane",1.3e-06
192,"2,3,4,5-tetramethylhexane",1.2e-06
193,"3,3,4,4-tetramethylhexane",2.2e-06
194,"3-ethyl-2,2-dimethylhexane",1.8e-06
195,"4-ethyl-2,2-dimethylhexane",1.1e-06
196,"3-ethyl-2,3-dimethylhexane",2e-06
197,"4-ethyl-2,3-dimethylhexane",1.6e-06
198,"3-ethyl-2,4-dimethylhexane",0.16
199,"4-ethyl-2,4-dimethylhexane",1.3e-06
200,"3-ethyl-2,5-dimethylhexane",1.1e-06
201,"4-ethyl-3,3-dimethylhexane",1.9e-06
202,"3-ethyl-3,4-dimethylhexane",2.2e-06
203,"3,3-diethylhexane",3.4e-06
204,"3,4-diethylhexane",1.8e-06
205,2-methyl-3-(1-methylethyl)-hexane,1.5e-06
206,"2,2,3,3,4-pentamethylpentane",1.3e-06
207,"2,2,3,4,4-pentamethylpentane",8.6e-07
208,"3-ethyl-2,2,3-trimethylpentane",2.1e-06
209,"3-ethyl-2,2,4-trimethylpentane",1.2e-06
210,"3-ethyl-2,3,4-trimethylpentane",1.5e-06
211,"3,3-diethyl-2-methylpentane",2.3e-06
212,"2,4-dimethyl-3-(1-methylethyl)-",1e-06
213,undecane,5.4e-07
214,dodecane,1.3e-06
215,"2,2,4,6,6-pentamethylheptane",1.1e-06
216,tridecane,7.9e-07
217,tetradecane,1.1e-06
218,pentadecane,7.6e-07
219,hexadecane,2.6e-06
220,heptadecane,2.2e-07
221,octadecane,0.16
222,nonadecane,1.3e-07
223,eicosane,5e-06
224,heneicosane,7.3e-08
225,docosane,5.4e-08
226,tetracosane,3.1e-08
227,pentacosane,1.5e-08
228,hexacosane,5e-05
229,heptacosane,7.7e-09
230,octacosane,5.6e-09
231,nonacosane,4e-09
232,triacontane,2.9e-09
233,dotriacontane,0.15
234,pentatriacontane,5.8e-10
235,hexatriacontane,8.6e+08
236,octatriacontane,2.2e-10
237,cyclopropane,0.00011
238,cyclobutane,7e-05
239,cyclopentane,5.4e-05
240,cyclohexane,0.56
241,cycloheptane,8.2e-05
242,cyclooctane,7.1e-05
243,methylcyclopentane,2.7e-05
244,methylcyclohexane,2.5e-05
245,methylcyclohexane-d14,0.00031
246,ethylcyclohexane,2.1e-05
247,methylcycloheptane,2.1e-05
248,"1,2-dimethylcyclohexane",2.1e-05
249,"cis-1,2-dimethylcyclohexane",2.8e-05
250,"trans-1,2-dimethylcyclohexane",0.17
251,"1,4-dimethylcyclohexane",1.5e-05
252,"trans-1,4-dimethylcyclohexane",1.1e-05
253,"1,1,2-trimethylcyclopentane",6.9e-06
254,"1,1,3-trimethylcyclopentane",6.3e-06
255,"1,1,3-trimethylcyclohexane",9.5e-06
256,propylcyclopentane,1.1e-05
257,pentylcyclopentane,5.4e-06
258,cyclooctene,0.00021
259,decahydronaphthalene,0.72
260,octahydro-1H-indene,8.8e-05
261,"2,6,6-trimethylbicyclo[3.1.1]heptane",2.8e-05
262,"1,1’-bicyclohexyl",3.1e-05
263,cyclododecane,6.4e-06
264,"octahydro-1,1,2,3,3-pentamethyl-1H-",9e-06
265,"1,1’:3’,1”-tercyclohexane",6.7e-06
266,"1,1’-(2-methylpentane-2,4-",2.9e-06
267,ethene,5.9e-05
268,propene,4.7e-05
269,1-butene,0.00013
270,2-butene,5.1e-05
271,cis-2-butene,0.55
272,trans-2-butene,3.9e-05
273,2-methylpropene,5.6e-05
274,1-pentene,2.5e-05
275,2-pentene,4.4e-05
276,cis-2-pentene,4.4e-05
277,trans-2-pentene,4.2e-05
278,2-methyl-1-butene,2.3e-05
279,2-methyl-2-butene,7.4e-05
280,3-methyl-1-butene,0.18
281,1-hexene,2.4e-05
282,2-methyl-1-pentene,3.6e-05
283,4-methyl-1-pentene,1.6e-05
284,"2,3-dimethyl-1-butene",1.7e-05
285,1-heptene,2.3e-05
286,2-heptene,1.7e-05
287,trans-2-heptene,2.4e-05
288,1-octene,1e-05
289,"2,4,4-trimethyl-1-pentene",1.3e-05
290,"2,4,4-trimethyl-2-pentene",1.1e-05
291,"3,4,4-trimethyl-2-pentene",1.1e-05
292,1-nonene,1.2e-05
293,1-decene,3.7e-06
294,1-undecene,6.7e-06
295,1-dodecene,0.23
296,"2,2,4,6,6-pentamethyl-3-heptene",3.6e-06
297,1-tridecene,3.8e-06
298,1-tetradecene,1.2e-06
299,"1,2-butadiene",0.0001
300,"2-methyl-1,3-butadiene",0.00013
301,"1,2-pentadiene",0.97
302,"1,3-pentadiene",0.00014
303,"1,4-pentadiene",8.3e-05
304,"2,3-pentadiene",0.00011
305,"1,4-hexadiene",8.4e-05
306,"1,5-hexadiene",6.9e-05
307,"2,3-dimethyl-1,3-butadiene",0.0002
308,"1,6-heptadiene",4.6e-05
309,1-methylcyclopropene,0.00025
310,cyclopentene,0.23
311,cyclohexene,0.00033
312,1-methylcyclopentene,0.00024
313,cycloheptene,0.00026
314,1-methylcyclohexene,0.00012
315,"1,1,2,3,3-pentamethyl-2,3,4,5,6,7-",2.5e-05
316,"1,3-cyclopentadiene",0.00047
317,"1,3-cyclohexadiene",0.0011
318,"1,4-cyclohexadiene",0.0011
319,"1,3-cycloheptadiene",0.62
320,"1,5-cyclooctadiene",0.00038
321,1-ethenylcyclohexene,0.00077
322,4-ethenylcyclohexene,0.00022
323,"1,3,5,7-cyclooctatetraene",0.036
324,"3a,4,7,7a-tetrahydro-4,7-methano-1H-",0.00016
325,"1,5,9-cyclododecatriene",0.00033
326,ethyne,0.00041
327,propyne,0.0009
328,1-butyne,0.00052
329,2-butyne,0.0019
330,1-pentyne,0.0004
331,2-pentyne,0.0011
332,1-hexyne,0.24
333,2-hexyne,0.00058
334,3-hexyne,0.0006
335,1-heptyne,0.00013
336,1-octyne,0.00013
337,2-octyne,0.00022
338,1-nonyne,6.9e-05
339,3-buten-1-yne,0.00037
340,butadiyne,0.2
341,benzene,0.0017
342,benzene-d6,0.0018
343,methylbenzene,0.0015
344,methylbenzene-d8,0.002
345,"1,2-dimethylbenzene",0.0024
346,"1,2-dimethylbenzene-d10",0.003
347,"1,4-dimethylbenzene",0.19
348,"1,2,3-trimethylbenzene",0.0027
349,"1,2,4-trimethylbenzene",0.0017
350,"1,3,5-trimethylbenzene",0.0017
351,"1,2,3,5-tetramethylbenzene",0.12
352,"1,2,4,5-tetramethylbenzene",0.00039
353,ethylbenzene,0.0014
354,ethylbenzene-d10,0.002
355,"1,2-diethylbenzene",0.0038
356,"1,3-diethylbenzene",0.0011
357,"1,4-diethylbenzene",0.0014
358,propylbenzene,0.14
359,1-ethyl-2-methylbenzene,0.0023
360,1-ethyl-3-methylbenzene,0.0013
361,1-ethyl-4-methylbenzene,0.002
362,butylbenzene,0.00077
363,1-methyl-2-(1-methylethyl)-benzene,0.0009
364,1-methyl-3-(1-methylethyl)-benzene,0.0014
365,1-methyl-4-(1-methylethyl)-benzene,0.0013
366,4-tert-butyltoluene,0.00064
367,pentylbenzene,0.0017
368,pentamethylbenzene,0.0077
369,hexylbenzene,0.00046
370,hexamethylbenzene,0.0086
371,4-tert-butyl-o-xylene,0.00058
372,"1-(1,1-dimethylethyl)-3,5-",0.58
373,diisopropylbenzene,0.00048
374,heptylbenzene,0.022
375,"5-tert-butyl-1,2,3-trimethylbenzene",0.00053
376,octylbenzene,0.054
377,"3,5-di-tert-butyltoluene",0.0037
378,"1,3,5-tris(1-methylethyl)benzene",0.00025
379,ethyl(phenylethyl)-benzene,0.011
380,1-phenyldecane,0.00013
381,4-(1-phenylethyl)-m-xylene,0.013
382,undecylbenzene,9.9e-05
383,dodecylbenzene,0.76
384,tridecylbenzene,5.5e-05
385,tetradecylbenzene,4.2e-05
386,pentadecylbenzene,1.2e-05
387,1-propenylbenzene,0.0037
388,2-propenylbenzene,0.0014
389,1-ethenyl-3-methylbenzene,0.0031
390,1-ethenyl-4-methylbenzene,0.31
391,phenylacetylene,0.0039
392,1-methyl-4-(1-methylethyl)-,5.6e-06
393,"1-methyl-4-(1-methylethyl)-1,3-",0.29
394,"1-methyl-4-(1-methylethyl)-1,4-",0.00038
395,1-methyl-4-(1-methylethenyl)-,0.00048
396,"3,7,7-trimethyl-bicyclo[4.1.0]hept-3-",0.00016
397,"7-methyl-3-methylene-1,6-octadiene",0.00087
398,1-methyl-4-(1-methylethylidene)-,0.00038
399,"2-methyl-5-(1-methylethyl)-1,3-",0.00018
400,3-methylene-6-(1-methylethyl)-,0.00018
401,"3,7-dimethyl-1,3,6-octatriene",0.0004
402,"2,2-dimethyl-3-methylene-",0.0001
403,4-methylene-1-(1-methylethyl)-,0.00016
404,"tricyclo[3.3.1.1(3,7)]decane",0.0008
405,"bis(1-methylethyl)-1,1’-biphenyl",0.0045
406,"1,1-bis(3,4-dimethylphenyl)ethane",0.1
407,1-benzyl-2-(2-methylbenzyl)benzene,0.21
408,"2,5-dibenzyltoluene",0.21
409,biphenyl,0.036
410,"2-methyl-1,1’-biphenyl",0.022
411,"3-methyl-1,1’-biphenyl",0.015
412,"4-methyl-1,1’-biphenyl",0.16
413,diphenylmethane,0.076
414,"1,2-diphenylethane",0.059
415,o-terphenyl,0.16
416,m-terphenyl,2.8
417,indene,0.0062
418,5-ethylidene-2-norbornene,7.6e-05
419,azulene,0.15
420,naphthalene,0.021
421,naphthalene-d8,0.035
422,1-methylnaphthalene,0.22
423,1-methylnaphthalene-d10,0.046
424,2-methylnaphthalene,0.018
425,1-ethylnaphthalene,0.26
426,2-ethylnaphthalene,0.012
427,"1,3-dimethylnaphthalene",0.026
428,"1,4-dimethylnaphthalene",0.032
429,"1,5-dimethylnaphthalene",0.028
430,"1,6-dimethylnaphthalene",0.023
431,"2,3-dimethylnaphthalene",0.016
432,"2,6-dimethylnaphthalene",0.78
433,"1,4,5-trimethylnaphthalene",0.018
434,2-(1-methylethyl)naphthalene,0.012
435,"1,2-bis(isopropyl)naphthalene",0.0078
436,acenaphthene,0.072
437,acenaphthylene,0.082
438,phenanthrene,0.23
439,1-methylphenanthrene,0.2
440,"9,10-dihydrophenanthrene",0.12
441,"2,3-benzindene",0.11
442,benzo[a]fluorene,0.37
443,anthracene,0.2
444,9-methylanthracene,0.61
445,"9,10-dimethylanthracene",1.8
446,pyrene,0.75
447,1-methylpyrene,3.1
448,2-methylpyrene,3.1
449,"2,7-dimethylpyrene",2.9
450,chrysene,2.3
451,naphthacene,360
452,benzo[jk]fluorene,0.69
453,benz[a]anthracene,1.4
454,7-methylbenz[a]anthracene,5.2
455,10-methylbenz[a]anthracene,5.2
456,12-methylbenz[a]anthracene,5.2
457,"7,12-dimethyl-benz[a]anthracene",5100
458,20-methylcholanthrene,1.9
459,benzo[b]fluoranthene,15
460,benzo[k]fluoranthene,17
461,benzo[a]pyrene,0.2
462,benzo[e]pyrene,33
463,"dibenzo[a,e]pyrene",700
464,"dibenzo[a,h]pyrene",700
465,"dibenzo[a, i]pyrene",700
466,"dibenz[a,h]anthracene",180
467,"indeno[1,2,3-cd]pyrene",29
468,benzo[ghi]perylene,30
469,benzo[b]triphenylene,19
470,"dibenz[a,j ]anthracene",86
471,picene,6.2
472,"1,2-benzfluoranthene",6.9
473,"1,2,3,4-tetrahydronaphthalene",0.0051
474,indane,0.43
475,"2,3-dihydro-1,1,3,3,5-pentamethyl-1H-",0.00075
476,"1,2,3,4-tetrahydro-1,1,3,4,4,6-",0.00042
477,"1,2,3,4-tetrahydro-5-(1-phenylethyl)-",0.016
478,5-methylchrysene,5.2
479,benzo[j ]fluoranthene,49
480,benzo[c]chrysene,80
481,benzo[g]chrysene,80
482,"dibenz[a,e]aceanthrylene",700
483,"dibenzo[b,k]chrysene",1200
484,carbon monoxide,9.7e-06
485,carbon dioxide,0.00033
486,carbon suboxide,0.013
487,methanol,2
488,ethanol,1.9
489,1-propanol,1.4
490,2-propanol,1.3
491,glycidol,1700
492,1-butanol,1.2
493,2-butanol,1.1
494,2-methyl-1-propanol,1
495,2-methyl-2-propanol,0.69
496,1-pentanol,1
497,2-pentanol,0.67
498,3-pentanol,0.63
499,2-methyl-1-butanol,0.7
500,3-methyl-1-butanol,0.46
501,2-methyl-2-butanol,0.71
502,3-methyl-2-butanol,0.31
503,"2,2-dimethyl-1-propanol",0.19
504,1-hexanol,0.57
505,2-hexanol,0.25
506,3-hexanol,0.23
507,2-methyl-1-pentanol,0.23
508,3-methyl-1-pentanol,0.38
509,2-methyl-2-pentanol,0.31
510,3-methyl-2-pentanol,0.28
511,4-methyl-2-pentanol,0.21
512,2-methyl-3-pentanol,0.29
513,3-methyl-3-pentanol,0.21
514,2-ethyl-1-butanol,0.47
515,"2,2-dimethyl-1-butanol",0.28
516,"2,3-dimethyl-1-butanol",0.82
517,"2,3-dimethyl-2-butanol",0.3
518,"3,3-dimethyl-2-butanol",0.56
519,1-heptanol,0.38
520,2-heptanol,0.2
521,3-heptanol,0.21
522,4-heptanol,0.35
523,2-methyl-1-hexanol,0.69
524,3-methyl-1-hexanol,0.13
525,4-methyl-1-hexanol,0.13
526,5-methyl-1-hexanol,0.28
527,2-methyl-2-hexanol,0.64
528,3-methyl-2-hexanol,0.49
529,4-methyl-2-hexanol,0.5
530,5-methyl-2-hexanol,0.42
531,2-methyl-3-hexanol,0.58
532,3-methyl-3-hexanol,0.77
533,4-methyl-3-hexanol,0.52
534,5-methyl-3-hexanol,0.54
535,2-ethyl-1-pentanol,0.34
536,3-ethyl-1-pentanol,0.34
537,"2,2-dimethyl-1-pentanol",0.33
538,"2,3-dimethyl-1-pentanol",0.36
539,"2,4-dimethyl-1-pentanol",0.33
540,"3,3-dimethyl-1-pentanol",0.35
541,"3,4-dimethyl-1-pentanol",0.35
542,"4,4-dimethyl-1-pentanol",0.38
543,3-ethyl-2-pentanol,0.49
544,"2,3-dimethyl-2-pentanol",0.86
545,"2,4-dimethyl-2-pentanol",0.57
546,"3,3-dimethyl-2-pentanol",0.55
547,"3,4-dimethyl-2-pentanol",0.47
548,"4,4-dimethyl-2-pentanol",0.68
549,3-ethyl-3-pentanol,1.1
550,"2,2-dimethyl-3-pentanol",0.4
551,"2,3-dimethyl-3-pentanol",0.92
552,"2,4-dimethyl-3-pentanol",0.38
553,2-ethyl-2-methyl-1-butanol,0.43
554,2-ethyl-3-methyl-1-butanol,0.38
555,"2,2,3-trimethyl-1-butanol",0.43
556,"2,3,3-trimethyl-1-butanol",0.4
557,"2,3,3-trimethyl-2-butanol",0.27
558,1-octanol,0.21
559,2-octanol,0.27
560,3-octanol,0.31
561,4-octanol,0.29
562,2-methyl-1-heptanol,0.34
563,3-methyl-1-heptanol,0.21
564,4-methyl-1-heptanol,0.23
565,5-methyl-1-heptanol,0.21
566,6-methyl-1-heptanol,0.11
567,2-methyl-2-heptanol,0.51
568,3-methyl-2-heptanol,0.39
569,4-methyl-2-heptanol,0.34
570,5-methyl-2-heptanol,0.33
571,6-methyl-2-heptanol,0.33
572,2-methyl-3-heptanol,0.38
573,3-methyl-3-heptanol,0.29
574,4-methyl-3-heptanol,0.53
575,5-methyl-3-heptanol,0.56
576,2-methyl-4-heptanol,0.39
577,3-methyl-4-heptanol,0.41
578,4-methyl-4-heptanol,0.45
579,2-ethyl-1-hexanol,0.38
580,"2,2-dimethyl-1-hexanol",0.49
581,"2,4-dimethyl-1-hexanol",0.46
582,"2,5-dimethyl-1-hexanol",0.41
583,"3,5-dimethyl-1-hexanol",0.36
584,3-ethyl-2-hexanol,0.56
585,"2,3-dimethyl-2-hexanol",0.7
586,"2,4-dimethyl-2-hexanol",0.89
587,"2,5-dimethyl-2-hexanol",0.85
588,"3,4-dimethyl-2-hexanol",0.52
589,"3,5-dimethyl-2-hexanol",0.7
590,"5,5-dimethyl-2-hexanol",0.6
591,3-ethyl-3-hexanol,0.72
592,4-ethyl-3-hexanol,0.63
593,"2,3-dimethyl-3-hexanol",0.74
594,"2,4-dimethyl-3-hexanol",0.7
595,"2,5-dimethyl-3-hexanol",0.72
596,"3,4-dimethyl-3-hexanol",0.86
597,"3,5-dimethyl-3-hexanol",0.86
598,"4,4-dimethyl-3-hexanol",0.72
599,"5,5-dimethyl-3-hexanol",0.84
600,2-propyl-1-pentanol,0.41
601,2-ethyl-2-methyl-1-pentanol,0.43
602,2-ethyl-4-methyl-1-pentanol,0.44
603,"2,2,3-trimethyl-1-pentanol",0.47
604,"2,2,4-trimethyl-1-pentanol",0.56
605,"2,3,4-trimethyl-1-pentanol",0.36
606,"2,4,4-trimethyl-1-pentanol",0.52
607,3-ethyl-2-methyl-2-pentanol,0.74
608,3-ethyl-4-methyl-2-pentanol,0.63
609,"2,3,3-trimethyl-2-pentanol",0.7
610,"2,3,4-trimethyl-2-pentanol",0.74
611,"2,4,4-trimethyl-2-pentanol",0.99
612,"3,3,4-trimethyl-2-pentanol",0.61
613,"3,4,4-trimethyl-2-pentanol",0.74
614,3-ethyl-2-methyl-3-pentanol,0.7
615,"2,2,3-trimethyl-3-pentanol",1.1
616,"2,2,4-trimethyl-3-pentanol",0.89
617,"2,3,4-trimethyl-3-pentanol",0.76
618,3-methyl-2-(1-methylethyl)-1-butanol,0.49
619,1-nonanol,0.11
620,2-nonanol,0.54
621,3-nonanol,0.3
622,4-nonanol,0.31
623,5-nonanol,0.29
624,6-methyl-1-octanol,0.21
625,7-methyl-1-octanol,0.21
626,2-methyl-2-octanol,0.48
627,2-methyl-3-octanol,0.41
628,3-methyl-3-octanol,0.36
629,2-methyl-4-octanol,0.41
630,3-methyl-4-octanol,0.46
631,4-methyl-4-octanol,0.45
632,"2,2-dimethyl-1-heptanol",0.32
633,"2,6-dimethyl-2-heptanol",0.58
634,"4,6-dimethyl-2-heptanol",0.31
635,"5,6-dimethyl-2-heptanol",0.32
636,3-ethyl-3-heptanol,0.43
637,"2,3-dimethyl-3-heptanol",0.54
638,"2,6-dimethyl-3-heptanol",0.52
639,4-ethyl-4-heptanol,0.47
640,"2,2-dimethyl-4-heptanol",0.54
641,"2,4-dimethyl-4-heptanol",0.57
642,"2,5-dimethyl-4-heptanol",0.16
643,"2,6-dimethyl-4-heptanol",0.17
644,"3,3-dimethyl-4-heptanol",0.22
645,2-ethyl-4-methyl-1-hexanol,0.12
646,3-ethyl-2-methyl-1-hexanol,0.13
647,"3,4,4-trimethyl-1-hexanol",0.14
648,"3,5,5-trimethyl-1-hexanol",0.13
649,"4,5,5-trimethyl-1-hexanol",0.094
650,3-ethyl-2-methyl-2-hexanol,0.21
651,3-ethyl-2-methyl-3-hexanol,0.17
652,3-ethyl-5-methyl-3-hexanol,0.25
653,"2,2,3-trimethyl-3-hexanol",0.24
654,"2,2,4-trimethyl-3-hexanol",0.27
655,"2,2,5-trimethyl-3-hexanol",0.34
656,"2,4,4-trimethyl-3-hexanol",0.25
657,"3,4,4-trimethyl-3-hexanol",0.29
658,4-methyl-2-propyl-1-pentanol,0.13
659,4-methyl-2-(1-methylethyl)-1-pentanol,0.16
660,"2-ethyl-2,4-dimethyl-1-pentanol",0.15
661,"3,3,4,4-tetramethyl-2-pentanol",0.2
662,"3-ethyl-2,2-dimethyl-3-pentanol",0.23
663,"3-ethyl-2,4-dimethyl-3-pentanol",0.21
664,"2,2,3,4-tetramethyl-3-pentanol",0.23
665,"2,2,4,4-tetramethylpentan-3-ol",0.28
666,1-decanol,0.076
667,2-decanol,0.54
668,4-decanol,0.53
669,5-decanol,0.73
670,2-methyl-1-nonanol,0.34
671,8-methyl-1-nonanol,0.18
672,2-methyl-3-nonanol,0.57
673,"2,2-dimethyl-1-octanol",0.57
674,"3,7-dimethyl-1-octanol",0.5
675,3-ethyl-3-octanol,0.77
676,"2,3-dimethyl-3-octanol",1
677,"2,7-dimethyl-3-octanol",0.9
678,"3,6-dimethyl-3-octanol",0.96
679,"3,7-dimethyl-3-octanol",0.85
680,"2,2-dimethyl-4-octanol",1
681,"4,7-dimethyl-4-octanol",0.96
682,2-propyl-1-heptanol,0.4
683,3-(1-methylethyl)-1-heptanol,0.44
684,"2,5,6-trimethyl-2-heptanol",0.93
685,3-ethyl-2-methyl-3-heptanol,0.93
686,"2,2,3-trimethyl-3-heptanol",1.1
687,"3,5,5-trimethyl-3-heptanol",0.86
688,4-propyl-4-heptanol,0.9
689,4-(1-methylethyl)-4-heptanol,1
690,"2,2,4-trimethyl-4-heptanol",1.3
691,"2,4,6-trimethyl-4-heptanol",1.3
692,2-butyl-1-hexanol,0.44
693,4-methyl-2-propyl-1-hexanol,0.57
694,4-methyl-2-(1-methylethyl)-1-hexanol,0.73
